"x_m","y_m","d_m","z_m"
247805.909599997,3090335.5086,0,-213.33251063029
247404.767995855,3105014.51451931,14684.4860095789,7626.65294988921
246348.197102668,3143677.69538893,53362.1009439274,8454.89100510513
244740.646994922,3202502.90150954,112209.268186543,10554.5633955542
242343.417099997,3290224.9215,199964.03730126,11517.8142153313
