"x_m","y_m","d_m","z_m"
416700.092200004,3103592.3666,0,-251.28448232015
414668.963654979,3152324.22133658,48774.1647722853,963.516126167968
408373.119999997,3303377.2599,199958.350805642,2472.39842716827
