"x_m","y_m","d_m","z_m"
670756.518799998,3113242.4441,0,-136.264032999674
669304.69602221,3124145.89976383,10999.6879406305,4241.11290196836
653870.104142129,3240062.51908441,127939.370090087,6417.37095289925
644364.292300001,3311452.9116,199959.843584146,6684.31614284558
