"x_m","y_m","d_m","z_m"
-60894.4455000013,3146882.1959,0,-109.060574213664
-53100.7731388229,3191449.62865603,45243.7552744752,11698.6967244057
-42418.8251886902,3252533.4123858,107254.501494428,12269.2752584508
-26454.2031999975,3343825.7049,199932.178567923,14785.8387689487
