"x_m","y_m","d_m","z_m"
-430571.312899999,3331302.7148,0,-209.733079274495
-425633.00646182,3348070.86665932,17480.2113046293,9330.22236793317
-408601.252347227,3405902.64421285,77767.8148664038,10159.194924069
-394950.148521111,3452255.33310918,126088.870355603,11402.3574784791
-367024.821800001,3547076.5284,224936.647006684,12186.5558575772
