"x_m","y_m","d_m","z_m"
93762.8457000032,3114366.1992,0,-187.169901529948
98284.5622143035,3142391.01314634,28387.2527195318,8229.38559445129
104148.775437077,3178736.3886227,65202.674966727,8824.75965920074
111862.38362165,3226543.99300124,113628.564608953,10006.8697148392
125611.963799998,3311761.5039,199948.174888776,10824.4167868807
