"x_m","y_m","d_m","z_m"
-659144.779100001,3459660.2451,0,-269.732343037923
-652318.466634837,3474098.09473917,15970.2862865823,5253.48230949144
-633273.309221079,3514379.15724509,60526.7899366743,5850.85112088795
-623498.42374123,3535053.3246698,83395.3181982194,6197.31224843501
-603881.968812252,3576542.69805602,129288.383120511,7343.84242424899
-573649.190800004,3640485.9039,200018.535389142,7880.28098003966
