"x_m","y_m","d_m","z_m"
560312.877499998,3107387.8666,0,-236.157928466797
560111.362352846,3111127.89796363,3745.45630804547,1667.97025212695
552587.908925308,3250759.84215986,143579.937719093,4823.38295071814
549554.530100003,3307058.0019,199959.758375277,5154.89044957713
