"x_m","y_m","d_m","z_m"
-245790.264600001,3195938.3103,0,-171.412947336833
-236925.348475157,3227955.601032,33221.8850115139,14652.0009966835
-222462.091203821,3280192.3403837,87423.9398525839,15225.4067940789
-199752.113730828,3362213.64109656,172531.147816733,17043.3115178786
-172438.061399996,3460863.4131,274892.444072015,17492.4913640459
