DBID,X,Y,PX,PY,u_location,u_scale,u_mean,u_sd,xobs,zobs
7428,620463.947029178,3125317.95797767,668300.510460498,3131687.51773394,-1.35666063604,0.105654605498,0.25896064252,0.0274369176743,18607.8671084392,-899.233459
7431,618967.790073348,3134742.58510545,667041.394806292,3141143.70751228,-1.22932933986,0.105858576354,0.294132091783,0.0312238374173,28147.5158102815,-1026.834839
7436,633718.086052022,3155526.03118541,664579.196842006,3159635.26636498,-1.17175310081,0.105587917864,0.311555216443,0.0329883690246,46802.2784091002,-1407.59314
7437,626470.179336434,3159723.77688809,663903.729643995,3164708.14906015,-1.1771031405,0.104279564749,0.309850292154,0.0323990923632,51919.9336118732,-1699.765503
7438,629830.317436329,3162982.92033231,663535.862462569,3167470.89914523,-1.12975703888,0.104922354783,0.324895174521,0.0341828005506,54707.067317997,-1643.625244
7439,636332.104340252,3161457.01371388,663848.767192016,3165120.92716744,-1.24790085381,0.10404357799,0.288665032339,0.030115205719,52336.3548372997,-1566.224365
7440,635542.069429177,3170571.14355997,662642.575969501,3174179.64474509,-1.36671893005,0.104816918078,0.256346396733,0.0269434093189,61475.023307983,-1478.954468
7441,641131.213888957,3164916.84720863,663479.711085749,3167892.60629639,-1.22573373135,0.104247113773,0.295141610868,0.0308514422392,55132.4963937094,-1655.199585
7442,638252.704839324,3173480.2636661,662309.188549486,3176683.44549035,-1.10873671092,0.10430272299,0.331775354586,0.0346994042165,64000.9222259494,-1800.0979
7443,639488.623378006,3177060.34383329,661862.32681226,3180039.4591955,-1.09646877428,0.103873041122,0.335855601127,0.0349806570329,67386.5556085474,-2018.875488
7444,648962.213333529,3168245.71084055,663180.607900678,3170138.92614151,-0.936769844973,0.103905003033,0.394012864128,0.0410506561488,57398.6419234336,-2154.375732
7445,649799.116411732,3172261.75918277,662669.756030762,3173975.51749387,-1.08699233609,0.105917075032,0.339126148043,0.0360202248778,61269.094460018,-2031.967407
7446,641205.065990403,3181124.39687731,661360.516572407,3183808.14624575,-1.07229304746,0.104509146363,0.34409690296,0.0360596911071,71188.5045297547,-2203.92041
7447,642227.437511603,3184250.62493204,660969.313486847,3186746.15325611,-1.15498800358,0.104808568596,0.316796525827,0.0332943817755,74152.4419526994,-2113.137695
7448,641195.348611786,3188439.11196933,660403.341744114,3190996.70497516,-1.18379567895,0.10476334802,0.307799094507,0.0323347443313,78440.5084085523,-2567.562256
7449,637311.368291849,3194284.89089505,659570.859616447,3197248.79862517,-1.18000378216,0.104667531227,0.308965352527,0.0324274129775,84747.7821065479,-2674.178955
7451,646161.944874884,3200371.01906562,658928.777240297,3202070.9551776,-1.16111760123,0.105038555781,0.314868227798,0.0331647391959,89612.4982949727,-2665.244385
7452,632546.956059578,3201680.53933345,658520.265761385,3205138.95140044,-1.32275076085,0.104018083013,0.267846592061,0.027936421243,92707.5721958252,-2932.100342
7453,646115.423331194,3204592.49754891,658375.658438366,3206224.97895099,-1.26200274936,0.104301902419,0.284630535628,0.0297684314029,93803.184863894,-2914.458252
7454,643915.823432452,3206695.75911058,658062.163936196,3208579.38023024,-1.37833404835,0.10501401811,0.25339136801,0.0266831769583,96178.365738399,-2592.347656
7455,636747.474383333,3205438.57916033,658101.766550216,3208281.9573266,-1.25600521202,0.104187493335,0.28633933223,0.0299141201478,95878.317824485,-2665.053955
7456,645754.726781287,3210688.19311462,657571.857180647,3212261.67400094,-1.13005107369,0.104265731795,0.324777351971,0.0339553915331,99893.1588858415,-3089.435303
7457,641098.231916447,3216552.91659984,656723.43870949,3218633.452517,-1.07571406196,0.106795888723,0.343004613647,0.0367361799866,106321.173770695,-3228.214844
7458,648625.643315207,3214711.89207821,657095.438367659,3215839.66677272,-0.715697982433,0.10481345496,0.491543395041,0.0516621847568,103502.730489267,-3476.975586
7459,649975.869945036,3221906.47123261,656177.672499683,3222732.25697337,-1.2170593145,0.105570460644,0.297754263015,0.0315218425019,110456.153665121,-3961.795166
7460,630191.638292969,3209487.56705656,657457.818149792,3213118.12806399,-1.13204382139,0.104219683835,0.324129241197,0.0338725841206,100757.171884979,-3039.891846
7461,636423.639662644,3215592.61996288,656767.642289441,3218301.47551433,-0.834612384637,0.104493051045,0.436418782731,0.0457274955165,105986.266788411,-2979.419189
7462,628493.182539225,3214632.4887631,656755.104664594,3218395.63537925,-1.19575017937,0.104885288689,0.304145304183,0.0319883028166,106081.257694288,-3002.787842
7463,628152.364373517,3218680.23762015,656219.58855363,3222417.45971104,-0.853170254724,0.104614961518,0.428399927503,0.0449399446546,110138.578049018,-3283.521973
7464,636653.157019328,3218615.13586344,656376.196065435,3221241.30853908,-0.768509541725,0.104932040802,0.466263583409,0.0490609765609,108952.046341869,-3200.230469
7465,637541.502743162,3227703.08908346,655202.668232207,3230054.71806511,-0.822733878511,0.104793960362,0.441647603765,0.0464093572912,117843.241708576,-3864.985107
7467,645041.817309658,3232728.04971115,654675.898948527,3234010.8521178,-1.97010764822,0.10793896621,0.140256521296,0.0151833469938,121834.292011574,-4369.464355
7469,629054.535979704,3223100.52586554,655656.985822003,3226642.70953802,-0.80882402971,0.105173858045,0.447851641176,0.0472328415633,114401.119302075,-3415.875244
7470,628867.084776126,3225541.71065991,655334.332945969,3229065.89188677,-0.968480057967,0.104879453007,0.381753484152,0.0401484510871,116845.688297558,-3732.638916
7471,638507.525530269,3235635.70831777,654181.649311036,3237722.75765592,-1.54450642108,0.105895062995,0.214617149347,0.0227907591638,125578.958275488,-4271.011719
7472,631059.50894413,3235905.68553129,654016.5774778,3238962.47743617,-1.50544346066,0.105588244209,0.223159387205,0.0236288359429,126829.619637996,-4195.550293
7473,651609.229199604,3184539.04046574,661095.016949938,3185802.09716499,-1.18359015766,0.107279148856,0.307944486845,0.0331313021134,73200.0537630342,-1862.531982
7474,651284.951683786,3194779.23084968,659749.613773939,3195906.32207724,-0.942783777121,0.105488800581,0.391715356787,0.0414368055819,83393.4570604198,-2340.29541
7477,671974.432556789,3193521.08324253,660274.646871316,3191963.2271025,-0.79682787185,0.106927035126,0.453340773724,0.0486132720854,79415.5609163364,-3222.217285
7478,669831.212280217,3204184.81356573,658842.143407332,3202721.591172,-0.83629362535,0.105348753605,0.435724792232,0.0460307209294,90268.8767058206,-3100.284912
7480,678155.473186841,3195873.05392566,660074.609948775,3193465.54112417,-0.881321644374,0.105177251869,0.416532613292,0.0439311939348,80931.1341379562,-3272.360107
7481,674085.558551965,3206216.40673414,658650.4579785,3204161.18394231,-0.95790867228,0.10532295309,0.385828538085,0.0407495565778,91721.1751076451,-3303.225586
7482,677728.843989705,3208656.84687317,658394.636777051,3206082.44814242,-1.1527091499,0.105207533535,0.317532584572,0.0334994754537,93659.3960996222,-3367.712402
7483,684854.919111833,3195569.93782128,660230.976788548,3192291.19744336,-1.26896461599,0.104600669674,0.282664678373,0.0296479744252,79746.4258746064,-3322.192627
7484,685828.407071185,3200198.63807946,659642.349287755,3196711.89806578,-0.992042758392,0.105306231055,0.372880212421,0.0393757225322,84206.1429427331,-2924.51709
7486,682126.719842063,3213765.9873206,657802.807237914,3210527.1966608,-1.52945648189,0.105414712376,0.217860495246,0.0230296496124,98143.3733068584,-3981.132813
7487,695586.362669137,3201197.17788528,659681.698169711,3196416.38073654,-1.57755349016,0.107038147453,0.207665865326,0.0222919896962,83908.0174215294,-4040.21875
7488,696311.132796996,3206971.52219425,658938.849863398,3201995.30792844,-1.50697270776,0.107028823115,0.222852508485,0.0239201111506,89536.1833944535,-3947.780762
7500,699575.467945994,3227235.40831238,656344.533563101,3221479.09974588,-2.33226194883,0.109978636696,0.0976647778185,0.0107736001328,109191.936258472,-4663.040039
7501,698183.760503541,3221385.46368718,657085.654341203,3215913.14660808,-1.72079790019,0.10670577811,0.179944854549,0.0192559422755,103576.858846716,-4527.663574
7502,688152.618910292,3218853.0081433,657242.233035458,3214737.2118612,-1.46975570624,0.107933999408,0.231325184764,0.0250407464497,102390.545474788,-4147.703613
7503,683242.677435316,3229914.07432228,655709.546642969,3226247.96812067,-2.60726308644,0.109575586321,0.0741800760378,0.00815278527955,114002.893955722,-4591.773438
7504,691931.351485746,3228359.03192633,656064.360473482,3223583.25109796,-1.72588233234,0.109445828458,0.179085284362,0.0196589785662,111314.658537198,-4759.095215
7505,692233.495176285,3231734.16351542,655628.045712969,3226860.05507122,-1.98319105705,0.108217850996,0.138437612596,0.015025390378,114620.383094603,-4837.378418
7509,699345.955437275,3233772.61017056,655485.254069801,3227932.44653268,-2.68190106956,0.110096450184,0.0688489396094,0.00760305176016,115702.239323485,-4928.786133
7510,699618.427310255,3243648.0379458,654197.969664662,3237600.18880324,-2.83011521477,0.106308080498,0.0593404244807,0.00632623201433,125455.307648355,-4975.634277
7515,684820.886910027,3235459.32959476,655011.538265534,3231490.13921261,-2.86809080724,0.110972703987,0.0571581474284,0.00636257276981,119291.331669466,-4730.841309
7517,679595.471517842,3241920.7747375,654075.137942753,3238522.67759074,-3.76717843344,0.105026795175,0.0232450489133,0.00244810090207,126385.938184588,-4601.365723
7519,680889.726272506,3249073.37844339,653161.888774107,3245381.34655,-3.85814026662,0.107390223826,0.0212292796089,0.0022864059979,133305.140735229,-4565.981445
7520,681921.225095814,3257559.0574495,652069.652068001,3253584.24478361,-3.21441508624,0.106669140092,0.0404080630486,0.00432258341074,141580.43652771,-4783.011719
7521,677832.203910111,3255051.37236607,652326.506077479,3251655.22400555,-5.42491167973,0.11168175223,0.00443301529555,0.000496634716633,139634.390499381,-4779.446777
7522,697611.285260249,3249338.48314596,653418.506204854,3243454.10252164,-3.09476952216,0.105444074118,0.0455379016823,0.00481507972162,131360.887137931,-5019.229004
7523,696561.792586125,3252824.43401178,652944.14613525,3247016.63375256,-3.05598463028,0.104613946544,0.0473346548356,0.00496544439111,134954.860739234,-4991.541992
7524,696195.200713217,3255748.42236538,652555.205896932,3249937.64636461,-3.2571828445,0.109440149833,0.0387279285487,0.00425111298231,137901.653773835,-5021.037109
7525,687791.744499409,3258462.54345318,652053.715119519,3253703.93419326,-3.94623279725,0.108085130883,0.0194406003254,0.00210739167164,141701.182298277,-4815.619141
7526,698327.68131172,3259427.59138268,652110.998846323,3253273.72288578,-3.25948279258,0.106314786367,0.0386259335037,0.00411813903314,141267.174009827,-5093.261719
7527,699714.225677091,3268567.67801673,650939.329232913,3262073.17683975,-2.92783943728,0.105837845626,0.0538130857145,0.00571144798214,150144.290634675,-5132.555664
7529,693957.46779266,3273752.73163623,650160.66656499,3267921.07646405,-3.90160479255,0.105482235749,0.0203221970105,0.002149607399,156043.802950647,-5076.518066
7533,679021.050802099,3265312.59612007,651004.71078406,3261582.14938442,-3.55046104405,0.106227729283,0.0288738517023,0.00307587691346,149648.929444106,-4996.838379
7534,677726.39167927,3273274.68123178,649940.454014848,3269574.91315392,-3.32084699811,0.104815990961,0.0363211957872,0.00381752251605,157712.236156978,-5150.750977
7535,685636.226236461,3277363.41669161,649543.307944302,3272557.55307287,-4.07087524612,0.106281733162,0.0171590878365,0.00182885976877,160721.200411908,-5097.199219
7536,683998.180347685,3279543.8248267,649229.50281434,3274914.28722387,-3.41813288686,0.105141666694,0.0329552235231,0.00347456532235,163098.734747749,-5006.663574
7541,678685.853395611,3225536.62033067,656202.878511266,3222542.95519772,-3.08378269754,0.105719747571,0.046042317256,0.00488121471404,110265.18114018,-4530.569824
7542,655322.164248433,3197668.82265698,659441.891247814,3198217.37475646,-0.962109867595,0.105683872013,0.384225627554,0.0407201005078,85724.9067466078,-2349.372803
7543,662969.598707565,3200209.30823578,659242.73602954,3199713.06701717,-1.05017874026,0.104637611185,0.351795856262,0.0369120696399,87233.799764595,-2343.139648
7544,652807.822728636,3201954.8611269,658837.33463558,3202757.70593091,-1.16340025104,0.104818973363,0.314143075482,0.0330188075795,90305.3102082128,-2822.32959
7545,653120.254612402,3208481.05713926,657988.936139065,3209129.33443374,-0.876863910443,0.104346088647,0.41835711992,0.0437730262586,96733.17375584,-3030.152344
7547,666152.028196368,3208246.02773616,658246.708800982,3207193.41440716,-0.551456463917,0.104973454035,0.5792930774,0.0609783043699,94780.1675872543,-3275.67627
7548,671630.610874353,3220094.22795949,656792.015091719,3218118.43129357,-2.02283526485,0.105695300435,0.133020833978,0.0140990354625,105801.607046605,-4174.638184
7549,670381.133328716,3213639.50059729,657614.739111479,3211939.62282585,-1.80832393255,0.11101533777,0.164941942614,0.018367648908,99568.2653350167,-4016.541992
7550,656272.176794901,3214081.67780397,657311.099378194,3214220.01298111,-0.629486603969,0.104484792795,0.535781919126,0.0561341981932,101868.781874372,-3552.303223
7551,657064.58392929,3219740.09809992,656584.596035549,3219676.1864944,-0.973781814705,0.10597769402,0.37977884638,0.0403613605451,107373.110762979,-3857.058594
7553,654099.257116113,3229350.67729085,655275.557710446,3229507.30469862,-1.74552859975,0.105307334183,0.175523247154,0.0185352487187,117290.996953191,-4192.05127
7556,669002.835437903,3230034.19070966,655445.762946507,3228229.0321205,-1.1565627343,0.106153916908,0.316342937923,0.0336758677029,116001.44253155,-4159.162109
7557,661254.931676488,3246055.41196285,653214.685585382,3244984.83280208,-2.7040188171,0.110480717409,0.0673457270128,0.00746316644882,132905.127415989,-4684.419922
7558,656451.472536506,3239238.05204641,654022.940908866,3238914.68690033,-2.26025678027,0.113619702296,0.10499925103,0.0119685897372,126781.407309996,-4634.85791
7559,655567.009398269,3248638.31162487,652777.669488424,3248266.90394084,-2.66140246627,0.106684380267,0.0702488256401,0.00751582771276,136216.165626104,-4663.986816
7561,644774.381641311,3243504.12664142,653261.374396934,3244634.19125372,-2.38888339064,0.105247288376,0.0922415227325,0.00973511661766,132551.39115751,-4853.940918
7563,673510.34634045,3237954.70122191,654488.023571956,3235421.83069598,-1.99564613117,0.106979917621,0.136705844798,0.0146667240207,123257.723676669,-4307.968262
7566,673744.01073702,3244601.15753115,653622.518881929,3241921.92985335,-2.03973993857,0.108166679765,0.130825628414,0.0141924666304,129815.191741713,-4328.948242
7570,672129.928187449,3252382.25631237,652576.376492086,3249778.65130738,-2.40916983553,0.105175204718,0.0903884374857,0.00953297324943,137741.255449893,-4608.620605
7571,664839.469740338,3251082.04634221,652619.481613813,3249454.92392769,-2.37268704156,0.110398997395,0.0937997514985,0.0103870315257,137414.670900532,-4503.042969
7573,671491.575938354,3261834.39505202,651328.605002089,3259149.64432934,-2.65233397425,0.105967120278,0.0708833678531,0.00753244195099,147194.955461473,-5115.988281
7574,662422.227270342,3261434.6084271,651222.915531375,3259943.39166248,-2.69246231666,0.106840201745,0.0681015774541,0.00729679927078,147995.70829043,-4721.266113
7575,669731.824267994,3265248.80035027,650851.232214111,3262734.80162848,-2.41686391283,0.105451633153,0.0896982616809,0.00948518485885,150811.754825307,-4922.443359
7576,661877.78106005,3265212.92499687,650719.102683395,3263727.11866751,-2.72408824287,0.106776288148,0.0659810529286,0.00706534062336,151812.829906825,-4805.621094
7578,670533.278055098,3270275.55567292,650207.529044587,3267569.13063678,-2.61450328398,0.104984728269,0.0736086754383,0.00774912928133,155688.750901887,-5214.860352
7579,658755.040267435,3270227.69577444,650008.605131753,3269063.08575117,-2.75276949626,0.105086095456,0.0641040360247,0.00675508348852,157195.891441753,-4965.868652
7580,670450.26612255,3273418.35055991,649794.901879378,3270668.03641948,-2.47979577348,0.104580201069,0.0842196287585,0.00883184318274,158815.00716578,-5312.319336
