DBID,X,Y,PX,PY,u_location,u_scale,u_mean,u_sd,xobs,zobs
6936,366075.360233006,3189282.67672711,413046.947855949,3191240.43788645,-0.52928333093,0.104665168203,0.592262143459,0.0621593747882,87724.1692114155,-3359.546631
6937,367560.330503793,3193281.42357995,412883.145572981,3195170.46441218,-0.598917220022,0.10465996764,0.55242347299,0.0579753113188,91657.6078700007,-3533.317871
6938,372614.646712102,3194638.04790021,412835.465064028,3196314.43909649,-1.44316967289,0.108583690483,0.237574394639,0.0258729301223,92802.5757775274,-4255.651855
6941,371116.128203353,3214390.56580563,412011.015272909,3216095.05197636,-1.94889008695,0.106005345086,0.143234587563,0.0152263870335,112600.362607411,-4524.622559
6943,378240.867793161,3223042.15474067,411663.400684869,3224435.1955139,-2.47157030018,0.105762938577,0.0849257952705,0.0090071780175,120947.747235464,-5197.057617
6944,372880.484831233,3221196.37572373,411730.902877163,3222815.64906158,-2.71265643777,0.106005753748,0.0667341923911,0.00709412857821,119326.794658369,-5073.38916
6949,370180.328798733,3229833.5765315,411366.848766509,3231550.2178707,-2.72047406781,0.105549549493,0.0662113279165,0.00700808550467,128068.947006434,-5319.103027
6950,362817.745417678,3230171.62219445,411340.01548928,3232194.01531584,-2.47699038277,0.107203216449,0.0844796908937,0.00908257750431,128713.303410242,-5244.54834
6988,369171.343312971,3183016.09405222,413313.053126048,3184855.90678482,-0.893994149254,0.105257952005,0.411290899151,0.0434118245285,81334.0949237024,-3924.725342
7019,376150.932225663,3161624.89173426,414215.18951295,3163211.39813627,-0.6326202326,0.107106138475,0.53425374758,0.0573863571017,59670.7940510844,-3482.241455
7020,371605.447277671,3148982.29032109,414733.332689871,3150779.84716806,-0.553490954625,0.104530731209,0.57808889894,0.0605935011006,47228.4497451678,-2119.202881
7030,366532.332858526,3129111.12249472,415551.322777053,3131154.2187448,-0.805471504231,0.105284284013,0.449360816379,0.0474420420808,27585.7819327096,-1217.561279
7033,372119.556977837,3130803.58800447,415490.592946777,3132611.279291,-0.572187782947,0.10556751155,0.567442683367,0.0600707988443,29044.1075299542,-1487.236084
7037,396162.584527563,3121818.13089066,415906.149562948,3122641.03653915,-1.93892107135,0.10665331838,0.144679604404,0.0154745444619,19065.2084006839,-577.971985
7038,398267.296744211,3121233.88316138,415934.108554911,3121970.23038154,-2.30462795343,0.107816449825,0.100377644586,0.0108538884085,18393.819834862,-541.759521
7039,402877.548766754,3128088.61534036,415656.895936493,3128621.25455476,-0.383091577489,0.105040844756,0.685521930884,0.0722068859956,25050.6185691303,-1573.018066
7040,405088.7914575,3122959.19747069,415874.152423337,3123408.72796043,-0.883145612806,0.10934046682,0.415959265093,0.0456174551229,19833.5663480378,-1058.312134
7041,410788.229204028,3119702.9369765,416019.520857304,3119920.97558517,-1.20905145303,0.105309522996,0.300139952368,0.0316954308365,16342.7858317663,-1053.327271
7042,413912.615817633,3112735.87106497,416314.820676638,3112835.99421618,-1.74146129039,0.104897884843,0.176231024189,0.0185372321525,9251.6531308327,-747.408508
7043,416772.541286056,3108980.24891685,416476.042018678,3108967.89091963,-2.49883853801,0.107085849875,0.0826529429154,0.00887639569201,5380.19146449891,-469.123169
7044,420567.642032538,3110064.32866835,416437.517671859,3109892.18636987,-1.81697313035,0.108667832284,0.163479319732,0.0178175177618,6305.28940776332,-743.790344
7045,423243.948476823,3109909.11694457,416448.616836889,3109625.88963583,-1.38413135925,0.105277744682,0.251933615308,0.0265966640919,6038.76146922435,-776.226929
7047,438245.84312798,3115561.08654553,416239.469071384,3114643.86772099,-1.38511329998,0.106020877483,0.251706113891,0.0267612697638,11061.0962699869,-738.626465
7048,427825.818742045,3112281.00022795,416357.874725238,3111803.01988899,-1.75338899401,0.110570305108,0.174247931929,0.0193256847685,8217.78195330585,-645.058533
7049,425372.886632516,3114850.36115518,416246.716439902,3114469.98522069,-1.15911562337,0.104409509622,0.315478435203,0.0330289226435,10887.0628011846,-856.939453
7050,430904.241857971,3123422.47356522,415899.645442686,3122797.08665453,-0.831620682962,0.105029445191,0.437750970507,0.0461038279195,19221.3940021086,-1178.219604
7051,419901.754576596,3118662.47917943,416078.616138566,3118503.13195871,-0.866293568545,0.105693924567,0.422862604101,0.0448191206586,14923.7112032295,-1165.293823
7052,427658.338499497,3128325.26769796,415690.023890458,3127826.43206838,-0.385899072654,0.104507766682,0.683561850535,0.0716330248413,24255.1060009177,-1625.688965
7053,417635.75296055,3124047.90579026,415850.612829365,3123973.50170495,-0.845132282907,0.104233212443,0.431840055316,0.0451346125361,20398.8304411633,-1244.432373
7054,413043.345084912,3127552.26707463,415696.841357755,3127662.86397378,-0.507484484496,0.104456657754,0.605301324557,0.0634006185586,24091.3958930129,-1539.260986
7055,424247.00037893,3132724.65471338,415501.060909589,3132360.12667714,-0.590575284739,0.105046056418,0.557073579714,0.0586801872335,28792.7368600397,-2013.465454
7056,419871.933231977,3145973.69990302,414942.215301266,3145768.2307933,-0.600984724698,0.1047845679,0.551289708165,0.0579255838292,42212.4821781722,-2598.723389
7057,425883.308054307,3137181.69934192,415318.452490663,3136741.35944873,-0.420217421495,0.10482582713,0.660523091841,0.0694305254076,33177.7735113725,-2157.425781
7058,426573.155055062,3145786.86569242,414961.610139271,3145302.90011266,-0.579068613102,0.104390910902,0.563482004092,0.0589830178244,41746.7474875148,-2662.855713
7059,411827.293143484,3131622.21435152,415525.392540551,3131776.34998392,-0.561299462972,0.104732405928,0.573604568828,0.0602401024055,28208.4533194395,-1722.629761
7061,407052.082809348,3138943.82502372,415212.478200638,3139283.94776494,-0.305243344062,0.105712471085,0.741073268438,0.0785600636425,35722.5693569872,-2218.021973
7062,414511.769976709,3151874.35520155,414687.408816363,3151881.67577375,-0.573221740988,0.104724843553,0.566806051533,0.0595217985396,48331.2349819518,-2757.190186
7064,404552.031915887,3149381.06134951,414773.876295686,3149807.10464326,-0.529698305616,0.104114943569,0.591982417399,0.0618016213115,46254.8626645637,-2440.76001
7065,401733.680924389,3139582.50106597,415176.681458897,3140142.80114616,-0.449414464706,0.103934056962,0.641456876175,0.0668496663711,36582.1684130285,-2311.59375
7067,391771.899834024,3157255.17156547,414424.091875466,3158199.3078827,-0.532426326946,0.105134842381,0.590432677355,0.0622469762032,54654.3521938488,-3575.253906
7068,400785.072511587,3157413.05240063,414433.153361523,3157981.90016456,-0.386591112736,0.106763776565,0.683251771964,0.0731549043474,54436.755717691,-3213.926514
7071,400294.647677006,3173910.67750142,413745.879445234,3174471.32065687,-1.72964995143,0.105161074424,0.17832981933,0.0188053226977,70940.4926765804,-3865.159912
7072,397552.571378151,3179192.84296865,413521.346963608,3179858.41656719,-1.90575056598,0.105224996211,0.149536552745,0.015778639447,76332.2657784762,-3970.951904
7073,383650.818401887,3171018.73563332,413837.342192444,3172276.90055394,-1.49994865741,0.104588993993,0.224365417409,0.0235304730079,68744.1673313132,-3923.342285
7077,383090.206961141,3192593.65892907,412938.693338799,3193837.73455547,-1.82383863539,0.106900290826,0.162329866785,0.0174028046145,90323.7209088081,-4400.019043
7080,381312.128632691,3200644.19072772,412600.648057616,3201948.28648354,-2.46680888014,0.105616769548,0.0853298086304,0.00903744995414,98441.3145910513,-4762.48877
7082,395064.952472857,3201134.84524103,412604.08311975,3201865.87075,-2.62629902016,0.108800860771,0.0727751879669,0.00794149357756,98358.8273024081,-4472.101074
7090,377385.700678053,3190087.5247289,413033.074425956,3191573.29617687,-2.19880254151,0.105255710948,0.111552141662,0.0117740954915,88057.3164965056,-4505.399902
7092,395465.3037281,3193226.00318509,412933.843825867,3193954.08650193,-2.37663036208,0.11109182319,0.0934377662882,0.0104122807537,90440.1738745033,-4403.462891
7094,404752.346609164,3191408.53746084,413025.569304747,3191753.362809,-2.99744336165,0.105468328667,0.0501929059769,0.00530851745736,88237.5394663288,-4678.920898
7095,403007.983809829,3198234.80108291,412738.52111882,3198640.36685079,-3.43125434088,0.106680286874,0.0325309284006,0.00348030613092,95130.5229519204,-4582.754883
7096,402990.173766619,3201474.7037,412603.686280728,3201875.39191084,-4.8629505298,0.118088427721,0.00778171839787,0.0009221438116,98368.3567297277,-4387.291504
7098,409084.522766465,3203676.84681045,412522.629534013,3203820.14603093,-3.71437981888,0.10592377081,0.0245076516911,0.00260324144915,100314.799326824,-4524.330566
7100,413383.04542539,3210240.85327884,412256.972663015,3210193.91891642,-3.02326977778,0.106672478226,0.0489194471675,0.00523323886359,106694.106057887,-4791.187012
7101,412531.295370516,3213301.86233641,412128.134917061,3213285.05873414,-2.99477777888,0.104917315558,0.0503239608058,0.00529441794092,109787.929669119,-4694.232422
7102,414791.442262962,3216511.83938963,411998.495600261,3216395.43024161,-2.77248573938,0.105069736611,0.0628524153306,0.00662215486122,112901.001667477,-5113.312012
7105,403404.624316802,3167913.62202231,414000.79465456,3168355.26710553,-2.00534448483,0.105882692317,0.135370622191,0.014373673399,64819.1290371023,-3862.51709
7106,408307.088277482,3169468.46497589,413944.603442211,3169703.43485413,-1.94833891874,0.106171075056,0.143316075435,0.015259002551,66168.4672936988,-3994.023926
7107,442324.43916841,3120763.05604879,416030.101635812,3119667.11624055,-0.657104930292,0.104188398158,0.521170873341,0.0544476517878,16088.7060810526,-1403.408936
7108,434679.347551367,3124918.72255044,415843.937127025,3124133.66850362,-0.872012572646,0.103961582007,0.420374807276,0.0438211814822,20559.1363000635,-1286.1427
7109,441040.104492239,3123583.88650865,415910.506917661,3122536.49269951,-0.595587576963,0.106196331796,0.554355696665,0.0590369126308,18960.573793859,-1367.295654
7110,444924.737949174,3127613.38220603,415749.586712092,3126397.37097881,-0.523949320266,0.104498178742,0.595419317956,0.0623904805805,22824.8041700296,-1943.131592
7112,443325.625175536,3131987.71498716,415564.808904916,3130830.65280134,-0.603863685558,0.104679449074,0.549698797306,0.0577001614126,27261.9350623937,-2259.694092
7113,440792.140945637,3137525.02574483,415330.02222592,3136463.77255782,-0.796871074088,0.10417638946,0.453189592744,0.0473400393236,32899.9456135944,-2217.033203
7114,433045.198984331,3140625.29576702,415187.593402528,3139880.99632184,-0.677466557148,0.104570346795,0.510686653998,0.053549002648,36320.136284179,-2471.593262
7115,445630.261868231,3114339.43713481,416303.104677365,3113117.09034672,-0.861352427381,0.105539347962,0.424950260766,0.0449741519071,9532.99331503734,-1103.968384
7116,449846.67614946,3108388.96572918,416558.000410396,3107001.50408042,-0.998643630435,0.105134717972,0.370420298564,0.0390518969537,3412.09736630032,-1021.503845
7117,448469.95157907,3104546.71721315,416715.478921055,3103223.20067153,-1.6138362412,0.112367298527,0.200383342133,0.0225877978937,369.486446205924,-549.646729
7118,453206.184460862,3103023.71541897,416787.060577662,3101505.77766544,-1.29486998071,0.107102083912,0.275509118612,0.0295924226712,2088.40055557744,-719.314209
7121,460163.13976276,3100656.94763832,416897.600291433,3098853.65341299,-1.31628969974,0.10509265261,0.269613057858,0.0284127661818,4742.82743887258,-772.295532
7132,466117.960382945,3110972.05334731,416478.742226587,3108903.10617723,-0.251355211345,0.104754882044,0.782025118046,0.0821462052699,5315.35047460369,-1446.734497
7133,463003.639725278,3112125.69927314,416425.341204519,3110184.33028123,-0.414201840873,0.10567422582,0.664567836259,0.0704242073866,6597.6869646987,-1332.503784
7134,453337.238091628,3116575.23166018,416223.444374562,3115028.3402841,-0.707406752784,0.104908309002,0.495640766309,0.052140229323,11445.90264037,-1538.031006
7135,462679.045121094,3117678.03418521,416193.760030104,3115740.54196411,-0.404881437167,0.105717509131,0.670793900936,0.0711132614231,12158.7226690761,-1894.4729
7136,461255.576565146,3123494.05051119,415949.302105886,3121605.69908643,-0.226237981425,0.105987686901,0.80202035869,0.0852435638451,18028.9720459054,-2399.974609
7137,451123.743474315,3122280.41581533,415982.227839333,3120815.72837613,-0.68720497861,0.104313916196,0.505723965106,0.0528978825573,17238.3154661867,-1954.532959
7138,452843.488066859,3125454.41895436,415853.148146941,3123912.67309413,-0.363954138434,0.104176578952,0.698704230495,0.0729865530209,20337.9490176471,-2176.208252
7140,459954.856992245,3129104.30001657,415713.618475165,3127260.33895855,-0.113764869709,0.106237239244,0.897518366998,0.0956195451835,23688.5213969742,-2533.072266
7142,461210.180544005,3134038.61229418,415510.491489611,3132133.86347148,-0.56212494316,0.105338147224,0.57316773118,0.0605443007715,28566.2772078384,-3169.984863
7143,457410.962779752,3140430.80895106,415237.940208998,3138673.05049026,-0.744279245988,0.105046927321,0.477705035495,0.0503202011969,35111.1416882633,-3141.576172
