x,z,coordx,coordy
0,-213.33251063029,247805.909599997,3090335.5086
200.164201502762,-213.661101023356,247800.441639537,3090535.5981024
400.328403005525,-215.592868804932,247794.973679076,3090735.68760481
600.492604508287,-218.170097351074,247789.505718616,3090935.77710721
800.65680601105,-219.765356699626,247784.037758155,3091135.86660961
1000.82100751381,-222.758061726888,247778.569797695,3091335.95611201
1200.98520901657,-225.624112447103,247773.101837234,3091536.04561441
1401.14941051934,-227.589538574219,247767.633876774,3091736.13511682
1601.3136120221,-229.57613881429,247762.165916313,3091936.22461922
1801.47781352486,-232.539770762126,247756.697955853,3092136.31412162
2001.64201502762,-235.320231119792,247751.229995393,3092336.40362402
2201.80621653039,-238.028054555257,247745.762034932,3092536.49312643
2401.97041803315,-241.124699910482,247740.294074472,3092736.58262883
2602.13461953591,-243.506191253662,247734.826114011,3092936.67213123
2802.29882103867,-246.68626276652,247729.358153551,3093136.76163363
3002.46302254144,-249.729084014893,247723.89019309,3093336.85113604
3202.6272240442,-254.023759206136,247718.42223263,3093536.94063844
3402.79142554696,-263.629276275635,247712.954272169,3093737.03014084
3602.95562704972,-284.008389790853,247707.486311709,3093937.11964324
3803.11982855249,-303.403406778971,247702.018351248,3094137.20914565
4003.28403005525,-334.966059366862,247696.550390788,3094337.29864805
4203.44823155801,-358.211896260579,247691.082430327,3094537.38815045
4403.61243306077,-393.03141784668,247685.614469867,3094737.47765285
4603.77663456354,-419.56923421224,247680.146509407,3094937.56715526
4803.9408360663,-431.17756652832,247674.678548946,3095137.65665766
5004.10503756906,-413.031715393066,247669.210588486,3095337.74616006
5204.26923907182,-391.417304992676,247663.742628025,3095537.83566246
5404.43344057459,-440.728088378906,247658.274667565,3095737.92516487
5604.59764207735,-478.655110677083,247652.806707104,3095938.01466727
5804.76184358011,-508.222735087077,247647.338746644,3096138.10416967
6004.92604508287,-507.111150105794,247641.870786183,3096338.19367207
6205.09024658564,-446.979184468587,247636.402825723,3096538.28317447
6405.2544480884,-392.171869913737,247630.934865262,3096738.37267688
6605.41864959116,-418.047780354818,247625.466904802,3096938.46217928
6805.58285109392,-475.61051940918,247619.998944341,3097138.55168168
7005.74705259669,-530.015213012695,247614.530983881,3097338.64118408
7205.91125409945,-562.647043863932,247609.063023421,3097538.73068649
7406.07545560221,-565.669550577799,247603.59506296,3097738.82018889
7606.23965710497,-628.811464945475,247598.1271025,3097938.90969129
7806.40385860773,-701.889826456706,247592.659142039,3098138.99919369
8006.5680601105,-697.605717976888,247587.191181579,3098339.0886961
8206.73226161326,-640.468393961589,247581.723221118,3098539.1781985
8406.89646311602,-572.16801961263,247576.255260658,3098739.2677009
