x,z
0,93.4649639129639
193.585146742859,92.4164594014486
387.170293485719,92.343563079834
580.755440228578,93.2181332906087
774.340586971438,93.5063540140788
967.925733714297,96.1227327982585
1161.51088045716,95.056484858195
1355.09602720002,94.3233261108398
1548.68117394288,95.5847568511963
1742.26632068574,96.1472746531169
1935.85146742859,98.0336659749349
2129.43661417145,96.8757158915202
2323.02176091431,95.9408582051595
2516.60690765717,96.0181070963542
2710.19205440003,96.8200696309408
2903.77720114289,94.8336086273193
3097.36234788575,93.549903233846
3290.94749462861,101.053695042928
3484.53264137147,114.673987706502
3678.11778811433,125.562438329061
3871.70293485719,132.426465988159
4065.28808160005,141.661874135335
4258.87322834291,155.480396270752
4452.45837508577,187.493263244629
4646.04352182863,236.991976420085
4839.62866857149,282.445018768311
5033.21381531435,332.082019805908
5226.79896205721,348.59671274821
5420.38410880007,303.31302134196
5613.96925554292,193.84465154012
5807.55440228578,154.347978591919
6001.13954902864,197.357084274292
6194.7246957715,245.864121754964
6388.30984251436,259.217714945475
6581.89498925722,310.994635264079
6775.48013600008,345.622769673665
6969.06528274294,372.297314961751
7162.6504294858,369.812023162842
7356.23557622866,360.178124745687
7549.82072297152,303.851449330648
7743.40586971438,257.81484858195
7936.99101645724,202.243398666382
8130.5761632001,170.595308939616
8324.16130994296,218.373394012451
8517.74645668582,302.448501586914
8711.33160342868,371.281785329183
8904.91675017154,373.867645899455
9098.50189691439,362.056863149007
9292.08704365726,320.120478312175
9485.67219040012,252.29575920105
9679.25733714297,174.313999811808
9872.84248388583,143.759410222371
10066.4276306287,139.3370774587
10260.0127773716,141.052110671997
10453.5979241144,179.203500111898
10647.1830708573,249.640130360921
10840.7682176001,328.795522054036
11034.353364343,394.349459330241
11227.9385110858,397.050356547038
11421.5236578287,430.187235514323
11615.1088045716,459.768180847168
11808.6939513144,450.747212727865
12002.2790980573,482.68443552653
12195.8642448001,513.501726786296
12389.449391543,545.370399475098
12583.0345382859,617.606218973796
12776.6196850287,629.672322591146
12970.2048317716,649.705927530924
13163.7899785144,698.288838704427
13357.3751252573,712.773417154948
13550.9602720002,713.15771484375
13744.545418743,694.304570515951
13938.1305654859,685.960779825846
14131.7157122287,669.330291748047
14325.3008589716,722.20036315918
14518.8860057145,795.804331461589
14712.4711524573,847.517395019531
14906.0562992002,920.753321329753
15099.641445943,1013.07086690267
15293.2265926859,1127.95199584961
15486.8117394288,1250.43035888672
15680.3968861716,1314.62525431315
15873.9820329145,1289.45347086589
16067.5671796573,1226.83550008138
16261.1523264002,1121.96714274089
16454.7374731431,1093.20364379883
16648.3226198859,1191.66094462077
16841.9077666288,1282.56551106771
17035.4929133716,1298.44196573893
17229.0780601145,1232.32108561198
17422.6632068574,1271.54624430339
17616.2483536002,1300.19576009115
17809.8335003431,1263.71373494466
18003.4186470859,1185.7629292806
18197.0037938288,1072.89666239421
18390.5889405717,930.405751546224
18584.1740873145,810.989222208659
18777.7592340574,668.487828572591
18971.3443808002,541.173304239909
19164.9295275431,418.712793986003
19358.5146742859,455.594690958659
19552.0998210288,584.577791849772
19745.6849677717,697.65133412679
19939.2701145145,645.239568074544
20132.8552612574,607.85124206543
