x,z,coordx,coordy
0,-251.28448232015,416700.092200004,3103592.3666
200.158509314957,-253.179773966471,416691.756892496,3103792.35147818
400.317018629914,-256.027378082275,416683.421584989,3103992.33635636
600.475527944872,-260.117537180583,416675.086277481,3104192.32123453
800.634037259829,-263.197687784831,416666.750969973,3104392.30611271
1000.79254657479,-266.651570638021,416658.415662466,3104592.29099089
1200.95105588974,-270.185536702474,416650.080354958,3104792.27586907
1401.1095652047,-273.08745320638,416641.745047451,3104992.26074725
1601.26807451966,-276.693102518717,416633.409739943,3105192.24562542
1801.42658383462,-279.074569702148,416625.074432436,3105392.2305036
2001.58509314957,-283.02912902832,416616.739124928,3105592.21538178
2201.74360246453,-285.089225769043,416608.403817421,3105792.20025996
2401.90211177949,-287.094090779622,416600.068509913,3105992.18513814
2602.06062109444,-290.527341206868,416591.733202406,3106192.17001632
2802.2191304094,-294.243789672852,416583.397894898,3106392.15489449
3002.37763972436,-296.269406636556,416575.062587391,3106592.13977267
3202.53614903932,-309.317204793294,416566.727279883,3106792.12465085
3402.69465835427,-311.046702067057,416558.391972376,3106992.10952903
3602.85316766923,-314.536913553874,416550.056664868,3107192.09440721
3803.01167698419,-313.053362528483,416541.721357361,3107392.07928538
4003.17018629914,-334.87915802002,416533.386049853,3107592.06416356
4203.3286956141,-344.990435282389,416525.050742346,3107792.04904174
4403.48720492906,-345.077229817708,416516.715434838,3107992.03391992
4603.64571424402,-319.486689249674,416508.380127331,3108192.0187981
4803.80422355897,-321.425559997559,416500.044819823,3108392.00367628
5003.96273287393,-326.823631286621,416491.709512316,3108591.98855445
5204.12124218889,-361.664047241211,416483.374204808,3108791.97343263
5404.27975150385,-391.112113952637,416475.038897301,3108991.95831081
5604.4382608188,-429.663454691569,416466.703589793,3109191.94318899
5804.59677013376,-465.13826751709,416458.368282286,3109391.92806717
6004.75527944872,-533.70686340332,416450.032974778,3109591.91294534
6204.91378876367,-623.868942260742,416441.697667271,3109791.89782352
6405.07229807863,-635.277791341146,416433.362359763,3109991.8827017
6605.23080739359,-578.957712809245,416425.027052256,3110191.86757988
6805.38931670855,-531.982790629069,416416.691744748,3110391.85245806
7005.5478260235,-488.109385172526,416408.356437241,3110591.83733624
7205.70633533846,-499.285919189453,416400.021129733,3110791.82221441
7405.86484465342,-530.658554077148,416391.685822226,3110991.80709259
7606.02335396837,-562.980298360189,416383.350514718,3111191.79197077
7806.18186328333,-633.568776448568,416375.015207211,3111391.77684895
8006.34037259829,-717.297429402669,416366.679899703,3111591.76172713
8206.49888191325,-766.832305908203,416358.344592195,3111791.74660531
8406.6573912282,-760.972229003906,416350.009284688,3111991.73148348
8606.81590054316,-798.202992757161,416341.67397718,3112191.71636166
8806.97440985812,-867.420074462891,416333.338669673,3112391.70123984
9007.13291917307,-904.664260864258,416325.003362165,3112591.68611802
9207.29142848803,-895.812489827474,416316.668054658,3112791.6709962
9407.44993780299,-966.464024861654,416308.33274715,3112991.65587437
9607.60844711795,-1072.8783416748,416299.997439643,3113191.64075255
9807.7669564329,-1112.1250406901,416291.662132135,3113391.62563073
10007.9254657479,-1126.06601460775,416283.326824628,3113591.61050891
10208.0839750628,-1109.98854064941,416274.99151712,3113791.59538709
10408.2424843778,-1178.89737955729,416266.656209613,3113991.58026526
10608.4009936927,-1246.59596761068,416258.320902105,3114191.56514344
