x,z,coordx,coordy
0,-187.169901529948,93762.8457000032,3114366.1992
200.148323211988,-189.91134262085,93794.7266991023,3114563.7920976
400.296646423976,-192.536215464274,93826.6076982014,3114761.3849952
600.444969635964,-194.400142669678,93858.4886973005,3114958.97789279
800.593292847953,-197.640474955241,93890.3696963996,3115156.57079039
1000.74161605994,-200.785582224528,93922.2506954987,3115354.16368799
1200.88993927193,-204.540926615397,93954.1316945978,3115551.75658559
1401.03826248392,-207.941095987956,93986.0126936969,3115749.34948318
1601.18658569591,-212.783185323079,94017.8936927959,3115946.94238078
1801.33490890789,-221.10870107015,94049.7746918951,3116144.53527838
2001.48323211988,-231.101860046387,94081.6556909941,3116342.12817598
2201.63155533187,-237.770306905111,94113.5366900933,3116539.72107357
2401.77987854386,-237.797302246094,94145.4176891923,3116737.31397117
2601.92820175585,-240.327102661133,94177.2986882914,3116934.90686877
2802.07652496783,-240.330941518148,94209.1796873905,3117132.49976637
3002.22484817982,-243.772767384847,94241.0606864896,3117330.09266396
3202.37317139181,-253.804808298747,94272.9416855887,3117527.68556156
3402.5214946038,-268.287746429443,94304.8226846878,3117725.27845916
3602.66981781579,-282.085913340251,94336.7036837869,3117922.87135676
3802.81814102777,-288.083880106608,94368.584682886,3118120.46425436
4002.96646423976,-288.714881896973,94400.4656819851,3118318.05715195
4203.11478745175,-292.519037882487,94432.3466810842,3118515.65004955
4403.26311066374,-293.776311238607,94464.2276801833,3118713.24294715
4603.41143387573,-299.854319254557,94496.1086792824,3118910.83584474
4803.55975708772,-300.230295817057,94527.9896783815,3119108.42874234
5003.7080802997,-294.834597269694,94559.8706774805,3119306.02163994
5203.85640351169,-290.807545979818,94591.7516765797,3119503.61453754
5404.00472672368,-285.066841125488,94623.6326756787,3119701.20743514
5604.15304993567,-291.130409240723,94655.5136747778,3119898.80033273
5804.30137314766,-297.896883646647,94687.3946738769,3120096.39323033
6004.44969635964,-298.343892415365,94719.275672976,3120293.98612793
6204.59801957163,-301.375022888184,94751.1566720751,3120491.57902553
6404.74634278362,-306.037127176921,94783.0376711742,3120689.17192312
6604.89466599561,-309.752733866374,94814.9186702733,3120886.76482072
6805.0429892076,-314.488306681315,94846.7996693724,3121084.35771832
7005.19131241958,-324.350059509277,94878.6806684715,3121281.95061592
7205.33963563157,-331.096061706543,94910.5616675706,3121479.54351351
7405.48795884356,-340.930353800456,94942.4426666697,3121677.13641111
7605.63628205555,-347.6130956014,94974.3236657688,3121874.72930871
7805.78460526754,-349.844045003255,95006.2046648679,3122072.32220631
8005.93292847952,-354.968271891276,95038.085663967,3122269.9151039
8206.08125169151,-350.730929056803,95069.9666630661,3122467.5080015
8406.2295749035,-344.658332824707,95101.8476621652,3122665.1008991
