x,z,coordx,coordy
0,-236.157928466797,560312.877499998,3107387.8666
200.15991829357,-242.266993204753,560302.108383481,3107587.7366053
400.31983658714,-250.50201288859,560291.339266965,3107787.60661061
600.47975488071,-258.486727396647,560280.570150448,3107987.47661592
800.639673174281,-264.545778910319,560269.801033932,3108187.34662122
1000.79959146785,-272.255157470703,560259.031917415,3108387.21662653
1200.95950976142,-280.361676534017,560248.262800899,3108587.08663183
1401.11942805499,-289.628514607747,560237.493684382,3108786.95663714
1601.27934634856,-297.312591552734,560226.724567866,3108986.82664244
1801.43926464213,-305.792317708333,560215.955451349,3109186.69664775
2001.5991829357,-313.928337097168,560205.186334832,3109386.56665305
2201.75910122927,-321.36708577474,560194.417218316,3109586.43665836
2401.91901952284,-329.828519185384,560183.648101799,3109786.30666366
2602.07893781641,-337.711385091146,560172.878985283,3109986.17666897
2802.23885610998,-346.080004374186,560162.109868766,3110186.04667427
3002.39877440355,-354.022486368815,560151.34075225,3110385.91667958
3202.55869269712,-366.036638895671,560140.571635733,3110585.78668488
3402.71861099069,-379.532440185547,560129.802519217,3110785.65669019
3602.87852928426,-402.682113647461,560119.0334027,3110985.5266955
3803.03844757783,-433.303563435872,560108.264286184,3111185.3967008
4003.1983658714,-447.332181294759,560097.495169667,3111385.26670611
4203.35828416497,-462.352984110514,560086.726053151,3111585.13671141
4403.51820245854,-483.476069132487,560075.956936634,3111785.00671672
4603.67812075211,-523.646090189616,560065.187820118,3111984.87672202
4803.83803904568,-565.027079264323,560054.418703601,3112184.74672733
5003.99795733925,-619.944590250651,560043.649587085,3112384.61673263
5204.15787563282,-679.384999593099,560032.880470568,3112584.48673794
5404.31779392639,-760.471720377604,560022.111354052,3112784.35674324
5604.47771221996,-845.233342488607,560011.342237535,3112984.22674855
5804.63763051353,-933.652862548828,560000.573121019,3113184.09675385
6004.7975488071,-1002.4219156901,559989.804004502,3113383.96675916
6204.95746710067,-1034.25431315104,559979.034887986,3113583.83676446
6405.11738539424,-1004.03295389811,559968.265771469,3113783.70676977
6605.27730368781,-992.761927286784,559957.496654953,3113983.57677507
6805.43722198138,-950.176971435547,559946.727538436,3114183.44678038
7005.59714027495,-885.081013997396,559935.95842192,3114383.31678568
7205.75705856853,-847.231806437174,559925.189305403,3114583.18679099
7405.91697686209,-805.465469360352,559914.420188887,3114783.0567963
7606.07689515567,-788.971031188965,559903.65107237,3114982.9268016
7806.23681344924,-875.041956583659,559892.881955854,3115182.79680691
8006.39673174281,-858.576716105143,559882.112839337,3115382.66681221
8206.55665003638,-861.701777140299,559871.343722821,3115582.53681752
8406.71656832995,-823.573806762695,559860.574606304,3115782.40682282
8606.87648662352,-773.403472900391,559849.805489788,3115982.27682813
8807.03640491709,-751.811655680339,559839.036373271,3116182.14683343
9007.19632321066,-809.306147257487,559828.267256755,3116382.01683874
9207.35624150423,-871.639760335286,559817.498140238,3116581.88684404
9407.5161597978,-953.531560262044,559806.729023722,3116781.75684935
9607.67607809137,-890.121836344401,559795.959907205,3116981.62685465
9807.83599638494,-799.529825846354,559785.190790689,3117181.49685996
10007.9959146785,-718.970184326172,559774.421674172,3117381.36686526
10208.1558329721,-672.855824788411,559763.652557656,3117581.23687057
10408.3157512656,-719.990885416667,559752.883441139,3117781.10687588
10608.4756695592,-791.209365844727,559742.114324623,3117980.97688118
10808.6355878528,-817.811716715495,559731.345208106,3118180.84688649
11008.7955061464,-826.814392089844,559720.57609159,3118380.71689179
11208.9554244399,-866.912790934245,559709.806975073,3118580.5868971
11409.1153427335,-943.013458251953,559699.037858556,3118780.4569024
11609.2752610271,-909.735844930013,559688.26874204,3118980.32690771
11809.4351793206,-883.137730916341,559677.499625523,3119180.19691301
12009.5950976142,-949.328603108724,559666.730509007,3119380.06691832
12209.7550159078,-1023.05414326986,559655.96139249,3119579.93692362
12409.9149342013,-1086.9335530599,559645.192275974,3119779.80692893
12610.0748524949,-1031.26800537109,559634.423159457,3119979.67693423
12810.2347707885,-1012.38419087728,559623.654042941,3120179.54693954
13010.3946890821,-1082.78340657552,559612.884926424,3120379.41694484
13210.5546073756,-1109.52002461751,559602.115809908,3120579.28695015
13410.7145256692,-1157.78159586589,559591.346693391,3120779.15695545
13610.8744439628,-1207.03420003255,559580.577576875,3120979.02696076
13811.0343622563,-1197.45345052083,559569.808460358,3121178.89696607
14011.1942805499,-1169.90104166667,559559.039343842,3121378.76697137
14211.3541988435,-1171.0904897054,559548.270227325,3121578.63697668
14411.5141171371,-1153.08113606771,559537.501110809,3121778.50698198
14611.6740354306,-1082.34627787272,559526.731994292,3121978.37698729
14811.8339537242,-1022.59791564941,559515.962877776,3122178.24699259
15011.9938720178,-1005.4014078776,559505.193761259,3122378.1169979
15212.1537903113,-964.932118733724,559494.424644743,3122577.9870032
15412.3137086049,-888.650278727214,559483.655528226,3122777.85700851
15612.4736268985,-866.536880493164,559472.88641171,3122977.72701381
15812.633545192,-902.215972900391,559462.117295193,3123177.59701912
16012.7934634856,-852.743733723958,559451.348178677,3123377.46702442
16212.9533817792,-805.042134602865,559440.57906216,3123577.33702973
16413.1133000728,-768.399256388346,559429.809945644,3123777.20703503
16613.2732183663,-759.61040242513,559419.040829127,3123977.07704034
16813.4331366599,-770.155792236328,559408.271712611,3124176.94704564
17013.5930549535,-821.755655924479,559397.502596094,3124376.81705095
17213.752973247,-905.620712280273,559386.733479578,3124576.68705626
17413.9128915406,-980.761235555013,559375.964363061,3124776.55706156
17614.0728098342,-1074.07601928711,559365.195246545,3124976.42706687
17814.2327281277,-1175.34544881185,559354.426130028,3125176.29707217
18014.3926464213,-1262.77010091146,559343.657013512,3125376.16707748
18214.5525647149,-1354.53759765625,559332.887896995,3125576.03708278
18414.7124830085,-1427.26606241862,559322.118780479,3125775.90708809
18614.872401302,-1471.53985595703,559311.349663962,3125975.77709339
18815.0323195956,-1492.32653808594,559300.580547446,3126175.6470987
19015.1922378892,-1574.83087158203,559289.811430929,3126375.517104
19215.3521561827,-1682.47801717122,559279.042314413,3126575.38710931
