DBID,X,Y,PX,PY,u_location,u_scale,u_mean,u_sd,xobs,zobs
4758,-96177.4633710098,3175674.45657907,-57055.8081190336,3168833.10753997,1.08237640471,0.106961341704,2.96861872544,0.318437796572,22284.0224997216,-252.52562
4768,-100422.258633439,3199742.90962551,-53097.7192933259,3191467.09180402,2.7705077693,0.107252102848,16.0588367771,1.72730894054,45261.4834303313,-741.759338
4775,-90691.4427583858,3179489.68895287,-56245.6331065163,3173466.02238648,0.833795536227,0.139816294919,2.32465080041,0.326618991075,26987.2430480235,-227.132339
4776,-81479.8129852393,3198219.7001092,-52794.0981531218,3193203.32270035,2.56839525414,0.108276846543,13.1215667314,1.42493626507,47024.0620873429,-456.906372
4782,-61546.5331962512,3200346.31135683,-51841.7571767953,3198649.20115871,1.48699259077,0.109719897414,4.45047939112,0.489779447695,52552.5831842007,-331.037018
4785,-51146.8713900666,3215276.66192687,-48999.7132512288,3214901.18041477,-0.994215129037,0.106078197102,0.372101416417,0.0395831482109,69051.1905016114,-1077.488647
4786,-53955.1909005532,3216433.39601157,-48886.7655992539,3215547.06166959,-1.08205572056,0.10509054771,0.340774705085,0.035911305975,69706.8731744203,-1013.919373
4787,-60188.4801874398,3211170.13620612,-49964.8225786842,3209382.28725885,-1.24241812832,0.106882111252,0.290338952886,0.031120877395,63448.5466899462,-926.632874
4788,-56982.2434568394,3217633.85982914,-48772.8882328051,3216198.2594152,-1.35205443753,0.104806913532,0.260133012312,0.0273387793038,70367.9530171634,-928.862366
4789,-63050.6353182394,3213644.48485367,-49629.8934886688,3211297.54992393,-1.33861478786,0.107991873457,0.263742068812,0.028565243247,65392.8739699121,-870.113892
4790,-60958.6282436993,3221619.36845112,-48214.6014994998,3219390.77319973,-2.36051229301,0.106268581104,0.0949062432984,0.0101140929808,73608.9140383724,-759.877869
4791,-66825.2899195116,3216436.19019471,-49268.1907919701,3213365.91511376,-1.81936612863,0.111064958746,0.163131538964,0.0181742154179,67492.6271457152,-709.724915
4792,-71752.2403410259,3218369.17936533,-49086.3915302802,3214405.51826809,-2.38169778766,0.107273061461,0.0929267219163,0.00999728107387,68548.0065514429,-697.895447
4795,-77208.194697965,3222440.66091438,-48557.4203419745,3217430.39367626,-2.52279355102,0.108604539853,0.0807097350833,0.00879135424997,71618.785239827,-753.608459
4799,-95786.4939192866,3230036.79665461,-47819.7538653901,3221648.67481101,-2.25149406694,0.106100494422,0.105835909331,0.0112609193293,75901.0799006875,-846.192261
4802,-94458.745537557,3236826.46948869,-46628.2520486215,3228462.17358753,-3.12302007026,0.110361088067,0.0442929265881,0.00490313749873,82817.9753138808,-671.931641
4804,-92412.4333690861,3243196.68319251,-45486.6037784349,3234990.58922456,-3.0051932179,0.114148401821,0.0498529159859,0.00570921813109,89445.4613759257,-737.543335
4822,-85360.558446985,3247006.93100167,-44630.8103818824,3239884.3688045,-3.0007485007,0.107360409618,0.0500373590316,0.00538754845228,94413.5053486236,-834.401184
4823,-79733.9912651804,3234883.84087944,-46520.9530302779,3229075.7536257,-2.54618600857,0.105405571151,0.0788166632939,0.0083308442855,83440.8665905675,-664.90271
4824,-68547.7219610651,3237113.80466548,-45810.6280729898,3233137.68467717,-2.60719830864,0.107227364185,0.0741660000016,0.0079755387813,87564.4385145019,-673.820435
4825,-77715.5093363023,3238861.77199644,-45786.0641324508,3233278.15141961,-2.09102498555,0.107978179408,0.124282840143,0.0134590464184,87707.0368767138,-695.65033
4826,-69685.875096559,3243315.96179516,-44791.9902633134,3238962.67577015,-2.35538070118,0.105925882212,0.0953910467108,0.0101327906714,93477.8253799658,-755.99231
4827,-80119.0163413011,3243087.18512293,-45140.3966969841,3236970.34409584,-2.44402283169,0.106576507677,0.0873053482007,0.0093311837206,91455.2595482839,-696.920532
4828,-80096.3633846369,3246830.18258843,-44504.595414886,3240606.11803821,-2.02310132098,0.106254010174,0.132993321854,0.014171052398,95146.2073168514,-786.91864
4829,-72084.8922714282,3247714.16986339,-44116.8689558639,3242823.29783348,-2.16655958324,0.10717402267,0.115231002538,0.0123853182891,97397.0333988945,-829.324402
4830,-79687.9586865401,3250073.17945318,-43942.1899858322,3243822.18422362,-1.92054274115,0.106956118784,0.147367923908,0.015807086296,98411.0781528251,-820.73999
4831,-82596.116889874,3258517.21242209,-42595.6623631845,3251522.18449248,-1.27607844661,0.106448875371,0.280715728213,0.0299667243317,106227.927951754,-1264.524658
4832,-85520.8731342183,3260995.87255621,-42261.8592667723,3253431.00826178,-0.822853414926,0.105083368327,0.441608225425,0.0465340838605,108165.718623988,-1649.124512
4839,-79911.937361894,3281038.30194935,-38694.531230752,3273830.46117642,-0.178486255393,0.104729114456,0.841135796571,0.0883335107404,128874.738604021,-4105.816406
4840,-77959.2048177398,3262116.55226501,-41847.3169114511,3255801.53241126,-0.573250117662,0.105717474791,0.566849169619,0.0600936889307,110572.216101157,-1679.139771
4841,-67015.0582346094,3253045.24722189,-43061.8280291845,3248856.45696253,-1.40462625415,0.107864872072,0.246890875681,0.0267085021747,103521.747305141,-1159.784424
4842,-67986.0132692615,3256358.16710768,-42528.4880028358,3251906.31518839,-1.67453169138,0.107013364089,0.188472011856,0.0202269052366,106617.887932042,-1204.69751
4843,-73076.7671032682,3267486.96854499,-40791.1614569838,3261841.06486984,-0.255937343416,0.104459702016,0.778425936228,0.0815364679409,116703.400053891,-2276.285156
4845,-36960.6676443604,3225802.78761729,-46792.6390455952,3227522.14094386,-2.25340226275,0.106757782699,0.10564153611,0.0113102672214,81863.6774275045,-843.210815
4847,-38562.5334376857,3229538.53212414,-46206.27343915,3230875.22130504,-2.13873479409,0.106035565066,0.118467925781,0.0125972061182,85267.641665407,-764.538574
4848,-42849.1092457752,3237058.07132898,-45057.5204946629,3237444.26439976,-2.12804657613,0.106016485349,0.119740685506,0.0127302402002,91936.3717175062,-794.64917
4849,-37477.1860462234,3232907.82843233,-45602.3497604508,3234328.7059645,-1.5079334731,0.107901124317,0.222659373858,0.0240952959479,88773.5338632402,-870.203186
4850,-31105.197936028,3235400.30767038,-44990.3359583928,3237828.45328578,-2.38006207583,0.104753885481,0.0930539927051,0.00977457001058,92326.3907709593,-835.439697
4851,-29510.4645663838,3237978.56986402,-44505.5233976045,3240600.81145031,-2.17117791525,0.104903693538,0.114672444578,0.0120627346742,95140.8202000899,-929.697754
4852,-36806.8755412107,3243238.01106801,-43829.5862962091,3244466.09855987,-1.54211708545,0.10423023142,0.215092929313,0.0224802140167,99064.7640585464,-1215.311768
4853,-28083.2817232443,3243002.23934565,-43610.7346273417,3245717.58265925,-1.73163464787,0.104702948314,0.177967684277,0.0186849271401,100335.239758419,-1232.802979
4854,-32751.0158088908,3247725.5433803,-42947.7700314057,3249508.68763258,-1.51096815242,0.105385403484,0.221925151185,0.023452758456,104183.875747222,-1231.546997
4855,-26654.9755305359,3248225.64147506,-42682.0209656098,3251028.35038859,-0.87488725395,0.107071860061,0.41930568678,0.045024823456,105726.599785402,-1683.174805
4856,-23320.1501884132,3250705.6812174,-42162.2408357332,3254000.66753418,-0.585656175898,0.106186766063,0.559888086223,0.0596206912539,108744.022625732,-2143.942627
4857,-30107.0965886799,3255140.62792693,-41611.0902317875,3257152.37398801,-0.390442569468,0.106820430044,0.680629436304,0.0729130253345,111943.557054266,-2095.304688
4858,-27511.7084375349,3264575.64783621,-39933.0985540616,3266747.82242317,-0.0350109868765,0.104767268033,0.97090864683,0.101999208511,121684.61894414,-3526.757324
4859,-29143.1642642369,3258424.06986743,-41025.3375138788,3260501.94959977,-0.463314467239,0.105640238769,0.632715416312,0.0670271237846,115343.96335726,-2615.630859
4860,-54112.4323279194,3221508.31130267,-48030.2964248895,3220444.70562576,-1.40162408974,0.10662252306,0.247600205421,0.0264749671243,74678.8401662716,-960.427979
4861,-51922.1647680688,3227103.47011388,-47015.8914046591,3226245.49188305,-3.1388348004,0.141102149698,0.0437667933393,0.00620645521693,80567.6548812847,-597.428589
4862,-49865.9094042154,3234383.40593121,-45719.5822376262,3233658.32231207,-3.06687217346,0.107696935655,0.0468374183332,0.0050589084204,88092.9769624954,-630.357849
