x,z
0,211.529026031494
159.546775974608,213.133167266846
319.093551949216,216.956851959229
478.640327923823,219.16144434611
638.187103898431,220.112088521322
797.733879873039,221.500123341878
957.280655847647,222.728588104248
1116.82743182225,225.913065592448
1276.37420779686,227.467515309652
1435.92098377147,230.25980758667
1595.46775974608,232.348077138265
1755.01453572069,235.224773406982
1914.56131169529,237.792469024658
2074.1080876699,239.183115641276
2233.65486364451,241.120268503825
2393.20163961912,244.002641042074
2552.74841559372,246.128518422445
2712.29519156833,249.848176320394
2871.84196754294,253.801355997721
3031.38874351755,255.422120412191
3190.93551949216,257.526242574056
3350.48229546676,259.372215270996
3510.02907144137,262.453267415365
3669.57584741598,266.911804199219
3829.12262339059,271.175445556641
3988.66939936519,276.195638020833
4148.2161753398,281.66864267985
4307.76295131441,287.187807718913
4467.30972728902,293.003616333008
4626.85650326363,299.602801005046
4786.40327923823,305.956095377604
4945.95005521284,310.966270446777
5105.49683118745,314.501935323079
5265.04360716206,318.637268066406
5424.59038313667,324.606282552083
5584.13715911127,330.754430135091
5743.68393508588,340.78059387207
5903.23071106049,349.236066182454
6062.7774870351,352.212933858236
6222.3242630097,353.72095489502
6381.87103898431,355.359870910645
6541.41781495892,371.558952331543
6700.96459093353,390.321169535319
6860.51136690813,405.750180562337
7020.05814288274,399.436345418294
7179.60491885735,410.424797058105
7339.15169483196,434.51392364502
7498.69847080657,466.535087585449
7658.24524678117,476.794637044271
7817.79202275578,493.551750183105
7977.33879873039,498.193593343099
8136.885574705,510.498667399089
8296.4323506796,527.492273966471
8455.97912665421,531.181276957194
8615.52590262882,536.390744527181
8775.07267860343,541.078216552734
8934.61945457804,552.184366861979
9094.16623055264,574.130894978841
9253.71300652725,583.106292724609
9413.25978250186,606.957717895508
9572.80655847647,622.016530354818
9732.35333445107,649.164967854818
9891.90011042568,700.894592285156
10051.4468864003,760.026041666667
10210.9936623749,825.933725992839
10370.5404383495,827.420313517253
10530.0872143241,803.420603434245
10689.6339902987,861.035781860352
10849.1807662733,942.442682902018
11008.7275422479,1015.18692016602
11168.2743182225,1060.40139261882
11327.8210941972,1057.07485961914
11487.3678701718,1048.02147420247
11646.9146461464,1053.60969034831
11806.461422121,1037.63716634115
11966.0081980956,1021.68964131673
12125.5549740702,1060.29213460286
12285.1017500448,1083.27312723796
12444.6485260194,1060.2015024821
12604.195301994,1040.49397786458
12763.7420779686,1071.86946105957
12923.2888539432,1131.78005981445
13082.8356299178,1175.44646199544
13242.3824058924,1197.39528401693
13401.9291818671,1245.92251586914
13561.4759578417,1308.1762491862
13721.0227338163,1393.19919840495
13880.5695097909,1441.99134318034
14040.1162857655,1441.09821573893
14199.6630617401,1397.76708984375
14359.2098377147,1341.58493041992
14518.7566136893,1340.36887613932
14678.3033896639,1358.81792195638
14837.8501656385,1391.87445068359
14997.3969416131,1415.66259765625
15156.9437175877,1458.34676106771
15316.4904935623,1484.51618448893
15476.037269537,1529.79678344727
15635.5840455116,1613.29353841146
15795.1308214862,1689.15679931641
15954.6775974608,1743.48277791341
16114.2243734354,1813.44175211589
16273.77114941,1873.60084025065
16433.3179253846,1910.65512084961
16592.8647013592,1916.50468953451
16752.4114773338,1953.36074829102
16911.9582533084,2008.09547932943
17071.505029283,2060.00864664714
17231.0518052576,2006.03487141927
17390.5985812322,1939.8652750651
17550.1453572069,1883.5776163737
17709.6921331815,1834.60236612956
17869.2389091561,1784.82096354167
18028.7856851307,1750.38194783529
18188.3324611053,1743.54414876302
18347.8792370799,1724.70922851563
18507.4260130545,1693.77577718099
18666.9727890291,1670.87733968099
18826.5195650037,1685.75392659505
18986.0663409783,1692.00956217448
19145.6131169529,1693.85441080729
19305.1598929275,1681.31632486979
19464.7066689021,1663.3938293457
19624.2534448768,1632.14403279622
19783.8002208514,1604.44566853841
19943.346996826,1592.53984578451
20102.8937728006,1569.43489583333
20262.4405487752,1546.97491455078
20421.9873247498,1546.88123575846
20581.5341007244,1537.14775594076
20741.080876699,1522.17951456706
20900.6276526736,1484.57119750977
21060.1744286482,1437.80547078451
21219.7212046228,1409.62443033854
21379.2679805974,1373.5231628418
21538.8147565721,1329.52917480469
21698.3615325467,1264.43477376302
21857.9083085213,1214.30777994792
22017.4550844959,1155.70365397135
22177.0018604705,1078.39944458008
22336.5486364451,1001.88949076335
22496.0954124197,951.987345377604
22655.6421883943,945.656987508138
22815.1889643689,982.725428263346
22974.7357403435,1016.43735758464
23134.2825163181,1027.11082458496
23293.8292922927,986.586095174154
23453.3760682673,979.910491943359
23612.922844242,1049.33837890625
23772.4696202166,1108.59276835124
23932.0163961912,1073.77001953125
24091.5631721658,1043.00182088216
24251.1099481404,1003.97607930501
24410.656724115,943.762125651042
24570.2035000896,871.995254516602
24729.7502760642,821.804697672526
24889.2970520388,805.583119710287
25048.8438280134,741.098765055339
25208.390603988,688.024261474609
25367.9373799626,734.128509521484
25527.4841559372,828.897806803385
25687.0309319119,913.566614786784
25846.5777078865,986.564275105794
26006.1244838611,1052.63989257813
26165.6712598357,1101.37112426758
26325.2180358103,1128.21033732096
26484.7648117849,1147.43616739909
26644.3115877595,1159.92067972819
26803.8583637341,1151.87127176921
26963.4051397087,1174.11411539714
27122.9519156833,1172.1227162679
27282.4986916579,1170.16515096029
27442.0454676325,1174.42131551107
27601.5922436071,1227.27350870768
27761.1390195818,1300.11477661133
27920.6857955564,1389.23308308919
28080.232571531,1425.26210530599
28239.7793475056,1351.69184366862
28399.3261234802,1261.90565999349
28558.8728994548,1201.22124226888
28718.4196754294,1207.21001180013
28877.966451404,1255.98062642415
29037.5132273786,1268.70257568359
29197.0600033532,1284.90553792318
29356.6067793278,1267.51569620768
29516.1535553024,1174.98017883301
29675.700331277,1086.55005391439
29835.2471072517,1025.45839436849
29994.7938832263,1023.42914326986
30154.3406592009,1066.849706014
30313.8874351755,1129.9396870931
30473.4342111501,1192.5673421224
30632.9809871247,1234.07766723633
30792.5277630993,1273.65280151367
30952.0745390739,1332.03255208333
31111.6213150485,1381.05605061849
31271.1680910231,1432.94450887044
31430.7148669977,1487.29070027669
31590.2616429723,1536.11876424154
31749.8084189469,1567.98165893555
31909.3551949216,1573.52432250977
32068.9019708962,1574.77149454753
32228.4487468708,1548.87743123372
32387.9955228454,1533.21294148763
32547.54229882,1508.11811319987
32707.0890747946,1474.2336324056
32866.6358507692,1449.98857625326
33026.1826267438,1463.85032145182
33185.7294027184,1467.22930908203
33345.276178693,1476.41899617513
33504.8229546676,1484.75952148438
33664.3697306422,1471.6747639974
33823.9165066169,1475.26522827148
33983.4632825915,1460.90511067708
34143.0100585661,1433.23377482096
34302.5568345407,1370.70533243815
34462.1036105153,1326.12075805664
34621.6503864899,1299.25370279948
34781.1971624645,1279.39834594727
34940.7439384391,1258.4826965332
35100.2907144137,1231.77210489909
35259.8374903883,1205.1698811849
35419.3842663629,1176.35116577148
35578.9310423375,1131.0190226237
35738.4778183121,1086.24022928874
35898.0245942867,1018.75583902995
36057.5713702614,949.545267740885
36217.118146236,874.736211140951
36376.6649222106,799.152567545573
36536.2116981852,721.257369995117
36695.7584741598,619.764770507813
36855.3052501344,581.196919759115
37014.852026109,648.760579427083
37174.3988020836,726.265884399414
37333.9455780582,799.876052856445
37493.4923540328,851.657297770182
37653.0391300074,897.926472981771
