x,z,coordx,coordy
0,-109.060574213664,-60894.4455000013,3146882.1959
200.132310878802,-110.193695704142,-60859.9707829843,3147079.33654965
400.264621757604,-109.016612370809,-60825.4960659673,3147276.4771993
600.396932636406,-107.906310399373,-60791.0213489502,3147473.61784895
800.529243515208,-108.937135696411,-60756.5466319332,3147670.7584986
1000.66155439401,-108.957665761312,-60722.0719149162,3147867.89914825
1200.79386527281,-108.198755264282,-60687.5971978992,3148065.0397979
1400.92617615161,-109.267391840617,-60653.1224808822,3148262.18044755
1601.05848703042,-109.865900675456,-60618.6477638651,3148459.3210972
1801.19079790922,-112.030735651652,-60584.1730468481,3148656.46174685
2001.32310878802,-110.864863077799,-60549.6983298311,3148853.6023965
2201.45541966682,-110.954231262207,-60515.2236128141,3149050.74304615
2401.58773054562,-112.854011535645,-60480.7488957971,3149247.8836958
2601.72004142442,-112.845324198405,-60446.27417878,3149445.02434545
2801.85235230323,-113.344956080119,-60411.799461763,3149642.1649951
3001.98466318203,-111.902935028076,-60377.324744746,3149839.30564475
3202.11697406083,-111.478785832723,-60342.850027729,3150036.4462944
3402.24928493963,-112.204519907633,-60308.375310712,3150233.58694405
3602.38159581843,-114.114391326904,-60273.9005936949,3150430.72759369
3802.51390669724,-115.664850234985,-60239.4258766779,3150627.86824334
4002.64621757604,-115.252771377563,-60204.9511596609,3150825.00889299
4202.77852845484,-115.282068888346,-60170.4764426439,3151022.14954264
4402.91083933364,-115.473886489868,-60136.0017256269,3151219.29019229
4603.04315021244,-117.725679397583,-60101.5270086098,3151416.43084194
4803.17546109125,-118.134037653605,-60067.0522915928,3151613.57149159
5003.30777197005,-119.115403493245,-60032.5775745758,3151810.71214124
5203.44008284885,-117.727067947388,-59998.1028575588,3152007.85279089
5403.57239372765,-119.623980204264,-59963.6281405418,3152204.99344054
5603.70470460645,-120.918579737345,-59929.1534235247,3152402.13409019
5803.83701548526,-122.96767171224,-59894.6787065077,3152599.27473984
6003.96932636406,-122.246349334717,-59860.2039894907,3152796.41538949
6204.10163724286,-122.269322077433,-59825.7292724737,3152993.55603914
6404.23394812166,-124.040454228719,-59791.2545554567,3153190.69668879
6604.36625900046,-125.992417017619,-59756.7798384396,3153387.83733844
6804.49856987927,-128.661113103231,-59722.3051214226,3153584.97798809
7004.63088075807,-130.320812861125,-59687.8304044056,3153782.11863774
7204.76319163687,-130.765135447184,-59653.3556873886,3153979.25928739
7404.89550251567,-132.534432729085,-59618.8809703715,3154176.39993704
7605.02781339447,-133.379382451375,-59584.4062533545,3154373.54058669
7805.16012427327,-137.585229237874,-59549.9315363375,3154570.68123634
8005.29243515208,-139.853755950928,-59515.4568193205,3154767.82188599
8205.42474603088,-138.93979771932,-59480.9821023035,3154964.96253564
8405.55705690968,-141.441794077555,-59446.5073852864,3155162.10318529
8605.68936778848,-141.070526123047,-59412.0326682694,3155359.24383494
8805.82167866728,-141.766399383545,-59377.5579512524,3155556.38448459
9005.95398954609,-143.99781926473,-59343.0832342354,3155753.52513424
9206.08630042489,-147.255728403727,-59308.6085172184,3155950.66578388
9406.21861130369,-155.108680725098,-59274.1338002013,3156147.80643353
