DBID,X,Y,PX,PY,u_location,u_scale,u_mean,u_sd,xobs,zobs
938,-464810.8772034,3377689.8127592,-420733.08599313,3364708.67793047,-1.40028885091,0.105582735036,0.247903680351,0.0262474643312,34824.547108976,-1081.878662
939,-449085.131504789,3373263.79615822,-420677.450730571,3364897.58895554,-1.50999224319,0.104528076324,0.222121847777,0.0232815346299,35021.4802393332,-1350.916748
940,-452703.033985265,3376399.81949371,-420116.335648037,3366802.87025637,-1.16390469404,0.104802226283,0.313984097042,0.0329967959404,37007.6692965902,-1488.554932
946,-454893.330842842,3390690.65037936,-416418.325010341,3379359.56448476,-1.69389739348,0.105506015353,0.184827627065,0.0195548198621,50097.583452977,-1108.802368
947,-454555.578068481,3394443.46232608,-415374.355213609,3382904.39190834,-1.53642943643,0.104693868606,0.216330265225,0.0227106556373,53792.9419470204,-1265.308105
948,-464357.316463743,3392095.57456017,-416792.920134592,3378087.61670107,-1.727442489,0.105334143665,0.178727166025,0.0188784140382,48771.6224160151,-1298.925171
949,-463558.132411916,3395775.57154705,-415731.855930109,3381690.48864431,-1.51299936181,0.106526073533,0.22150160142,0.0236627942395,52527.4902898154,-1133.697998
1027,-455285.990468824,3398718.86708727,-414274.013896195,3386640.63034119,-1.54260546783,0.108709086943,0.215090451422,0.0234515379754,57687.83971742,-1142.458374
1028,-448945.89686346,3400213.95601545,-413362.835081396,3389734.56242677,-1.71213996968,0.105984487112,0.181495646112,0.0192898669197,60913.1556062515,-1468.859009
1031,-454353.019929211,3412790.01352281,-410386.266751991,3399841.57996242,-1.53200908684,0.106611462907,0.217332664142,0.0232361474407,71449.3675671793,-1385.866333
1034,-451811.38508466,3418862.10389527,-408537.877635353,3406117.83474549,-1.49917831397,0.104731857921,0.224541679793,0.0235813020937,77992.1434634249,-1606.488647
1035,-441038.782937282,3425712.1832721,-405821.731538181,3415340.58161218,-1.5580189592,0.104260437436,0.211700266963,0.0221320803734,87606.5342079384,-1195.062622
1036,-450588.922275929,3422486.84939947,-407458.004304935,3409784.57357994,-1.54674940472,0.105477881853,0.214126864908,0.0226486136358,81814.5903354964,-1373.154907
1039,-452373.624260418,3433404.08815378,-404641.86744105,3419346.84177479,-1.54370441757,0.105757912108,0.214786224623,0.0227790071944,91782.9201788739,-1216.140991
