x,z,coordx,coordy
0,-269.732343037923,-659144.779100001,3459660.2451
200.218754143285,-270.261703491211,-659059.197930531,3459841.25176546
400.43750828657,-271.179117838542,-658973.616761062,3460022.25843093
600.656262429856,-272.470143636068,-658888.035591592,3460203.2650964
800.875016573141,-275.856063842773,-658802.454422123,3460384.27176186
1001.09377071643,-280.34499613444,-658716.873252654,3460565.27842733
1201.31252485971,-285.70491027832,-658631.292083184,3460746.28509279
1401.531279003,-281.970700581868,-658545.710913715,3460927.29175826
1601.75003314628,-281.574684143066,-658460.129744245,3461108.29842372
1801.96878728957,-286.965240478516,-658374.548574776,3461289.30508919
2002.18754143285,-296.784576416016,-658288.967405306,3461470.31175465
2202.40629557614,-314.817108154297,-658203.386235837,3461651.31842012
2402.62504971942,-327.440521240234,-658117.805066367,3461832.32508559
2602.84380386271,-327.122215270996,-658032.223896898,3462013.33175105
2803.06255800599,-342.51927947998,-657946.642727428,3462194.33841652
3003.28131214928,-377.077639261882,-657861.061557959,3462375.34508198
3203.50006629256,-424.191497802734,-657775.480388489,3462556.35174745
3403.71882043585,-440.924977620443,-657689.89921902,3462737.35841291
3603.93757457913,-441.139172871908,-657604.31804955,3462918.36507838
3804.15632872242,-477.726458231608,-657518.736880081,3463099.37174384
4004.3750828657,-480.106150309245,-657433.155710611,3463280.37840931
4204.59383700899,-436.690259297689,-657347.574541142,3463461.38507477
4404.81259115227,-425.333986918132,-657261.993371673,3463642.39174024
4605.03134529556,-446.358848571777,-657176.412202203,3463823.3984057
4805.25009943884,-424.934778849284,-657090.831032734,3464004.40507117
5005.46885358213,-394.295399983724,-657005.249863264,3464185.41173664
5205.68760772541,-376.761169433594,-656919.668693795,3464366.4184021
5405.9063618687,-360.846984863281,-656834.087524325,3464547.42506757
5606.12511601199,-394.387975056966,-656748.506354856,3464728.43173303
5806.34387015527,-403.875178019206,-656662.925185386,3464909.4383985
6006.56262429856,-375.101679484049,-656577.344015917,3465090.44506396
6206.78137844184,-362.573994954427,-656491.762846447,3465271.45172943
6407.00013258513,-358.147557576497,-656406.181676978,3465452.45839489
6607.21888672841,-355.485097249349,-656320.600507508,3465633.46506036
6807.4376408717,-353.040738423665,-656235.019338039,3465814.47172583
7007.65639501498,-348.802363077799,-656149.43816857,3465995.47839129
7207.87514915827,-350.68701171875,-656063.8569991,3466176.48505676
7408.09390330155,-346.37594350179,-655978.275829631,3466357.49172222
7608.31265744484,-340.599032084147,-655892.694660161,3466538.49838769
7808.53141158812,-337.390607198079,-655807.113490692,3466719.50505315
8008.75016573141,-329.825960795085,-655721.532321222,3466900.51171862
8208.96891987469,-318.613215128581,-655635.951151753,3467081.51838408
8409.18767401798,-301.32182820638,-655550.369982283,3467262.52504955
8609.40642816126,-304.06435139974,-655464.788812814,3467443.53171501
8809.62518230455,-304.681933085124,-655379.207643344,3467624.53838048
9009.84393644783,-308.805135091146,-655293.626473875,3467805.54504594
9210.06269059112,-309.294675191243,-655208.045304406,3467986.55171141
9410.2814447344,-310.115598042806,-655122.464134936,3468167.55837688
9610.50019887769,-309.98668162028,-655036.882965466,3468348.56504234
9810.71895302097,-306.191078186035,-654951.301795997,3468529.57170781
10010.9377071643,-301.809898376465,-654865.720626528,3468710.57837327
10211.1564613075,-298.896545410156,-654780.139457058,3468891.58503874
10411.3752154508,-299.014958699544,-654694.558287589,3469072.5917042
10611.5939695941,-300.07231648763,-654608.977118119,3469253.59836967
10811.8127237374,-299.293721516927,-654523.39594865,3469434.60503513
11012.0314778807,-298.216077168783,-654437.81477918,3469615.6117006
11212.250232024,-296.783579508464,-654352.233609711,3469796.61836606
11412.4689861673,-298.438654581706,-654266.652440241,3469977.62503153
11612.6877403105,-301.39542388916,-654181.071270772,3470158.631697
11812.9064944538,-301.59622446696,-654095.490101302,3470339.63836246
12013.1252485971,-303.045082092285,-654009.908931833,3470520.64502793
12213.3440027404,-302.879595438639,-653924.327762363,3470701.65169339
12413.5627568837,-303.205571492513,-653838.746592894,3470882.65835886
12613.781511027,-303.998512268066,-653753.165423424,3471063.66502432
12814.0002651703,-303.876973470052,-653667.584253955,3471244.67168979
13014.2190193135,-305.76456451416,-653582.003084486,3471425.67835525
13214.4377734568,-306.370053609212,-653496.421915016,3471606.68502072
13414.6565276001,-306.761047363281,-653410.840745547,3471787.69168619
13614.8752817434,-307.327931722005,-653325.259576077,3471968.69835165
13815.0940358867,-310.94965616862,-653239.678406608,3472149.70501712
14015.31279003,-318.89414469401,-653154.097237138,3472330.71168258
14215.5315441732,-319.229967753092,-653068.516067669,3472511.71834805
14415.7502983165,-320.134045918783,-652982.934898199,3472692.72501351
14615.9690524598,-319.612632751465,-652897.35372873,3472873.73167898
