DBID,X,Y,PX,PY,u_location,u_scale,u_mean,u_sd,xobs,zobs
5129,71618.7248783623,3252488.7792669,114921.208458707,3245502.05830274,-2.02219104699,0.106883656693,0.133123369703,0.0142694470455,132831.810411673,-5399.40332
5132,71364.1095554233,3256898.58236731,115608.203688846,3249759.9354708,-2.31989526813,0.108336123153,0.0988623391308,0.010741865644,137144.753771434,-5350.268066
5499,68902.3849379051,3145793.44354672,98074.1115150988,3141086.67624874,1.20700728442,0.108078376151,3.36304815634,0.364536796719,27066.047118864,-358.060699
5501,73021.9909005864,3144804.99551929,98023.1988552673,3140771.12842198,1.43376337416,0.107282217404,4.21866240111,0.45389284575,26746.4183812619,-396.486694
5503,76569.7237780804,3144083.80613659,97999.8037192543,3140626.12943057,1.63398738792,0.106155461289,5.15322060233,0.548587287507,26599.5441496936,-448.306488
5504,78998.760939019,3151373.23853731,99207.7201653041,3148112.5858584,3.17815292982,0.107954136546,24.1426497988,2.61391089598,34182.8212767875,-822.959473
5505,80850.2388633497,3142988.1637709,97936.1170480028,3140231.41049872,1.82453228413,0.106583106402,6.23521002502,0.666459894293,26199.7204044489,-523.402771
5506,88169.0898980849,3154442.60707381,99923.0604108612,3152546.14051107,-1.40909019629,0.107754944573,0.245788312389,0.0265619721828,38673.7141195522,-1136.488037
5536,55214.1738834353,3165569.950552,100836.727971567,3158208.8934317,-0.875286113386,0.105435293842,0.41906559802,0.0443073841517,44409.7021819113,-1355.82959
5537,63998.6339322891,3166177.42390095,101155.137071435,3160182.33775409,-1.10995738545,0.104407475124,0.331374234311,0.0346924489761,46408.6686269662,-1482.910645
5538,59119.1846335863,3162351.85365294,100429.751238324,3155686.52229376,3.15876876278,0.108632198268,23.6809100403,2.58011752315,41854.7097711745,-1033.107178
5543,69125.7878361355,3135713.94553639,96494.7469960038,3131298.0491508,1.43239629892,0.10707049385,4.21280351555,0.452362813914,17150.8258532188,-363.491302
5546,75346.7190108868,3136360.60732222,96754.2759627849,3132906.56463042,1.44108423915,0.106580277265,4.24934102046,0.454185144573,18780.143910809,-469.092712
5547,76975.2270148078,3134570.95198567,96514.1660347887,3131418.40498187,1.38343339382,0.107730511489,4.0117851843,0.433448696519,17272.7382198638,-456.130768
5548,80136.2850939141,3135712.01736499,96773.8054863921,3133027.60522725,1.5121511048,0.106130421872,4.56209951728,0.485544154759,18902.7498991269,-522.099976
