x,z
0,127.003372828166
182.490759084944,128.903557459513
364.981518169888,146.292945861816
547.472277254832,180.10943476359
729.963036339775,230.806219736735
912.453795424719,301.253607432048
1094.94455450966,324.23228708903
1277.43531359461,282.446025848389
1459.92607267955,252.428924560547
1642.41683176449,221.920705159505
1824.90759084944,181.956643422445
2007.39834993438,150.509661992391
2189.88910901933,135.013805389404
2372.37986810427,121.2204469045
2554.87062718921,120.99765586853
2737.36138627416,144.481095631917
2919.8521453591,171.870580037435
3102.34290444405,161.611759185791
3284.83366352899,145.408332824707
3467.32442261393,164.044136683146
3649.81518169888,173.809898376465
3832.30594078382,180.458086649577
4014.79669986876,188.988543192546
4197.28745895371,213.450383504232
4379.77821803865,242.820941925049
4562.2689771236,303.697327931722
4744.75973620854,365.224164326986
4927.25049529348,390.574686686198
5109.74125437843,443.58683013916
5292.23201346337,459.096143086751
5474.72277254832,474.932795206706
5657.21353163326,544.680615743001
5839.7042907182,618.845779418945
6022.19504980315,643.246355692546
6204.68580888809,726.497014363607
6387.17656797303,808.875661214193
6569.66732705798,829.216817220052
6752.15808614292,743.546320597331
6934.64884522787,660.164388020833
7117.13960431281,595.827479044596
7299.63036339775,525.991546630859
7482.1211224827,481.154780069987
7664.61188156764,412.091697692871
7847.10264065259,385.726353963216
8029.59339973753,426.642082214355
8212.08415882247,468.362431844076
8394.57491790742,467.747894287109
8577.06567699236,429.852546691895
8759.5564360773,410.965530395508
8942.04719516225,483.975830078125
9124.53795424719,561.146118164063
9307.02871333214,622.305745442708
9489.51947241708,671.371485392253
9672.01023150202,638.591804504395
9854.50099058697,620.271204630534
10036.9917496719,640.828094482422
10219.4825087569,777.159790039063
10401.9732678418,892.995788574219
10584.4640269267,1024.43455505371
10766.9547860117,1112.71268717448
10949.4455450966,1202.32086181641
11131.9363041816,1173.96429443359
11314.4270632665,1110.56363932292
11496.9178223515,1032.32897949219
11679.4085814364,942.119425455729
11861.8993405214,826.218831380208
12044.3900996063,702.683314005534
12226.8808586912,598.116348266602
12409.3716177762,528.637041727702
12591.8623768611,488.75700378418
12774.3531359461,472.502820332845
12956.843895031,405.30904897054
13139.334654116,379.740229288737
13321.8254132009,378.133445739746
13504.3161722858,419.317286173503
13686.8069313708,453.252934773763
13869.2976904557,470.17133585612
14051.7884495407,468.059773763021
14234.2792086256,448.738708496094
14416.7699677106,421.659118652344
14599.2607267955,445.600741068522
14781.7514858805,484.160845438639
14964.2422449654,510.759211222331
15146.7330040503,527.459325154622
15329.2237631353,616.212341308594
15511.7145222202,689.704676310221
15694.2052813052,650.300931294759
15876.6960403901,608.325609842936
16059.1867994751,589.503776550293
16241.67755856,625.533437093099
16424.1683176449,791.088572184245
16606.6590767299,901.295862833659
16789.1498358148,940.310811360677
16971.6405948998,875.476130167643
17154.1313539847,840.532821655273
17336.6221130697,785.970830281576
17519.1128721546,721.783869425456
17701.6036312396,640.438196818034
17884.0943903245,561.625066121419
18066.5851494094,585.908020019531
18249.0759084944,691.396194458008
18431.5666675793,747.06413269043
18614.0574266643,820.539108276367
18796.5481857492,886.310872395833
18979.0389448342,868.952067057292
19161.5297039191,852.574859619141
19344.020463004,894.699569702148
19526.511222089,899.22861735026
19709.0019811739,844.59531656901
19891.4927402589,794.168065388997
20073.9834993438,746.056579589844
20256.4742584288,724.760828653971
20438.9650175137,782.525075276693
20621.4557765987,844.052546183268
20803.9465356836,907.100331624349
20986.4372947685,975.861821492513
21168.9280538535,1006.09439086914
21351.4188129384,996.807459513346
21533.9095720234,999.453908284505
21716.4003311083,986.009668986003
21898.8910901933,927.081380208333
22081.3818492782,881.536209106445
22263.8726083631,825.199447631836
22446.3633674481,806.109654744466
22628.854126533,861.868672688802
22811.344885618,856.337275187174
22993.8356447029,836.122568766276
23176.3264037879,875.927047729492
23358.8171628728,914.549133300781
23541.3079219578,919.626225789388
23723.7986810427,938.645487467448
23906.2894401276,928.692377726237
24088.7801992126,948.911824544271
24271.2709582975,981.280944824219
24453.7617173825,982.617879231771
24636.2524764674,990.180374145508
24818.7432355524,1009.97037760417
25001.2339946373,1018.76022847493
25183.7247537223,1021.2496693929
25366.2155128072,1058.10081481934
25548.7062718921,1068.74492390951
25731.1970309771,1072.96479797363
25913.687790062,1050.41935221354
26096.178549147,1024.01996358236
26278.6693082319,1058.6124420166
26461.1600673169,1088.15816752116
26643.6508264018,1102.90969848633
