x,z,coordx,coordy
0,-171.412947336833,-245790.264600001,3195938.3103
275.167611683698,-174.948963165283,-245716.838971172,3196203.50059309
550.335223367396,-179.456439971924,-245643.413342344,3196468.69088619
825.502835051095,-178.761227925618,-245569.987713515,3196733.88117928
1100.67044673479,-183.717322031657,-245496.562084686,3196999.07147237
1375.83805841849,-186.732583363851,-245423.136455857,3197264.26176547
1651.00567010219,-190.767697652181,-245349.710827028,3197529.45205856
1926.17328178589,-198.289978027344,-245276.285198199,3197794.64235165
2201.34089346959,-200.976347605387,-245202.859569371,3198059.83264474
2476.50850515328,-204.38921991984,-245129.433940542,3198325.02293784
2751.67611683698,-209.142211914063,-245056.008311713,3198590.21323093
3026.84372852068,-216.600063323975,-244982.582682884,3198855.40352402
3302.01134020438,-226.32430267334,-244909.157054055,3199120.59381712
3577.17895188808,-269.551148732503,-244835.731425226,3199385.78411021
3852.34656357177,-303.155031840007,-244762.305796398,3199650.9744033
4127.51417525547,-367.489972432454,-244688.880167569,3199916.1646964
4402.68178693917,-410.204920450846,-244615.45453874,3200181.35498949
4677.84939862287,-370.860913594564,-244542.028909911,3200446.54528258
4953.01701030657,-301.445793151855,-244468.603281082,3200711.73557568
5228.18462199027,-368.401201883952,-244395.177652253,3200976.92586877
5503.35223367396,-449.965540568034,-244321.752023425,3201242.11616186
5778.51984535766,-418.590454101563,-244248.326394596,3201507.30645496
6053.68745704136,-372.700627644857,-244174.900765767,3201772.49674805
6328.85506872506,-396.206654866536,-244101.475136938,3202037.68704114
6604.02268040876,-451.860857645671,-244028.049508109,3202302.87733423
6879.19029209245,-513.305152893066,-243954.62387928,3202568.06762733
7154.35790377615,-583.31517791748,-243881.198250452,3202833.25792042
7429.52551545985,-637.995142618815,-243807.772621623,3203098.44821351
7704.69312714355,-623.255666097005,-243734.346992794,3203363.63850661
7979.86073882725,-561.087618509928,-243660.921363965,3203628.8287997
8255.02835051095,-509.416168212891,-243587.495735136,3203894.01909279
8530.19596219464,-512.039741516113,-243514.070106307,3204159.20938589
8805.36357387834,-511.363426208496,-243440.644477479,3204424.39967898
9080.53118556204,-535.360158284505,-243367.21884865,3204689.58997207
9355.69879724574,-496.948633829753,-243293.793219821,3204954.78026517
9630.86640892944,-490.780042012533,-243220.367590992,3205219.97055826
9906.03402061313,-498.213584899902,-243146.941962163,3205485.16085135
10181.2016322968,-483.790667215983,-243073.516333334,3205750.35114444
10456.3692439805,-463.030123392741,-243000.090704506,3206015.54143754
10731.5368556642,-421.214251200358,-242926.665075677,3206280.73173063
11006.7044673479,-380.933527628581,-242853.239446848,3206545.92202372
11281.8720790316,-347.23789469401,-242779.813818019,3206811.11231682
11557.0396907153,-316.418304443359,-242706.38818919,3207076.30260991
11832.207302399,-307.868843078613,-242632.962560361,3207341.492903
12107.3749140827,-303.143618265788,-242559.536931533,3207606.6831961
12382.5425257664,-294.975123087565,-242486.111302704,3207871.87348919
12657.7101374501,-290.391220092773,-242412.685673875,3208137.06378228
12932.8777491338,-284.667541503906,-242339.260045046,3208402.25407538
13208.0453608175,-279.485939025879,-242265.834416217,3208667.44436847
13483.2129725012,-274.686164855957,-242192.408787388,3208932.63466156
13758.3805841849,-271.952112833659,-242118.98315856,3209197.82495465
14033.5481958686,-268.887634277344,-242045.557529731,3209463.01524775
14308.7158075523,-269.541989644368,-241972.131900902,3209728.20554084
14583.883419236,-272.355814615885,-241898.706272073,3209993.39583393
14859.0510309197,-276.438758850098,-241825.280643244,3210258.58612703
15134.2186426034,-275.61292775472,-241751.855014415,3210523.77642012
15409.3862542871,-276.131561279297,-241678.429385587,3210788.96671321
15684.5538659708,-275.110272725423,-241605.003756758,3211054.15700631
15959.7214776545,-271.276832580566,-241531.578127929,3211319.3472994
16234.8890893382,-266.628707885742,-241458.1524991,3211584.53759249
16510.0567010219,-258.403962453206,-241384.726870271,3211849.72788559
16785.2243127056,-254.5420850118,-241311.301241442,3212114.91817868
17060.3919243893,-254.931752522786,-241237.875612614,3212380.10847177
17335.559536073,-252.852080027262,-241164.449983785,3212645.29876486
17610.7271477567,-253.446186065674,-241091.024354956,3212910.48905796
17885.8947594404,-251.552691141764,-241017.598726127,3213175.67935105
18161.0623711241,-250.962336222331,-240944.173097298,3213440.86964414
18436.2299828078,-250.806596120199,-240870.747468469,3213706.05993724
18711.3975944915,-251.993801116943,-240797.321839641,3213971.25023033
18986.5652061752,-250.161931355794,-240723.896210812,3214236.44052342
19261.7328178589,-248.577536265055,-240650.470581983,3214501.63081652
19536.9004295426,-249.659352620443,-240577.044953154,3214766.82110961
19812.0680412263,-249.214790344238,-240503.619324325,3215032.0114027
20087.23565291,-248.195343017578,-240430.193695496,3215297.2016958
20362.4032645937,-249.019664764404,-240356.768066668,3215562.39198889
20637.5708762774,-252.579498291016,-240283.342437839,3215827.58228198
20912.7384879611,-250.72762298584,-240209.91680901,3216092.77257508
21187.9060996448,-251.30913289388,-240136.491180181,3216357.96286817
21463.0737113285,-251.501194000244,-240063.065551352,3216623.15316126
21738.2413230122,-253.477521260579,-239989.639922523,3216888.34345435
22013.4089346959,-255.884886423747,-239916.214293695,3217153.53374745
22288.5765463796,-256.028149922689,-239842.788664866,3217418.72404054
22563.7441580633,-257.683441162109,-239769.363036037,3217683.91433363
22838.9117697469,-258.118097941081,-239695.937407208,3217949.10462673
23114.0793814306,-260.742101033529,-239622.511778379,3218214.29491982
23389.2469931143,-260.919952392578,-239549.08614955,3218479.48521291
23664.414604798,-263.1427637736,-239475.660520722,3218744.67550601
23939.5822164817,-263.889818827311,-239402.234891893,3219009.8657991
24214.7498281654,-265.69766998291,-239328.809263064,3219275.05609219
24489.9174398491,-267.915893554688,-239255.383634235,3219540.24638529
24765.0850515328,-270.193600972493,-239181.958005406,3219805.43667838
25040.2526632165,-282.092653910319,-239108.532376577,3220070.62697147
25315.4202749002,-319.906626383464,-239035.106747749,3220335.81726456
25590.5878865839,-374.094917297363,-238961.68111892,3220601.00755766
25865.7554982676,-433.416508992513,-238888.255490091,3220866.19785075
26140.9231099513,-477.897799173991,-238814.829861262,3221131.38814384
26416.090721635,-556.314615885417,-238741.404232433,3221396.57843694
26691.2583333187,-646.549575805664,-238667.978603604,3221661.76873003
26966.4259450024,-718.344721476237,-238594.552974776,3221926.95902312
27241.5935566861,-792.432576497396,-238521.127345947,3222192.14931622
27516.7611683698,-872.742853800456,-238447.701717118,3222457.33960931
27791.9287800535,-877.803100585938,-238374.276088289,3222722.5299024
28067.0963917372,-789.94553120931,-238300.85045946,3222987.7201955
28342.2640034209,-710.550150553385,-238227.424830631,3223252.91048859
28617.4316151046,-665.430002848307,-238153.999201803,3223518.10078168
28892.5992267883,-657.093317667643,-238080.573572974,3223783.29107477
29167.766838472,-634.278869628906,-238007.147944145,3224048.48136787
29442.9344501557,-597.307896931966,-237933.722315316,3224313.67166096
29718.1020618394,-531.399673461914,-237860.296686487,3224578.86195405
29993.2696735231,-485.765393575033,-237786.871057658,3224844.05224715
30268.4372852068,-424.712127685547,-237713.44542883,3225109.24254024
30543.6048968905,-374.50582631429,-237640.019800001,3225374.43283333
30818.7725085742,-391.387418111165,-237566.594171172,3225639.62312643
31093.9401202579,-417.563247680664,-237493.168542343,3225904.81341952
31369.1077319416,-457.494181315104,-237419.742913514,3226170.00371261
31644.2753436253,-483.021245320638,-237346.317284685,3226435.19400571
31919.442955309,-489.064793904622,-237272.891655857,3226700.3842988
32194.6105669927,-491.40473429362,-237199.466027028,3226965.57459189
32469.7781786764,-513.020614624023,-237126.040398199,3227230.76488499
32744.9457903601,-566.63569132487,-237052.61476937,3227495.95517808
33020.1134020438,-603.544275919596,-236979.189140541,3227761.14547117
33295.2810137275,-661.632639567057,-236905.763511712,3228026.33576426
33570.4486254112,-725.905995686849,-236832.337882884,3228291.52605736
33845.6162370949,-759.686264038086,-236758.912254055,3228556.71635045
34120.7838487786,-786.39306640625,-236685.486625226,3228821.90664354
34395.9514604623,-822.03683980306,-236612.060996397,3229087.09693664
34671.119072146,-805.231470743815,-236538.635367568,3229352.28722973
34946.2866838297,-719.038884480794,-236465.209738739,3229617.47752282
35221.4542955134,-624.555821736654,-236391.784109911,3229882.66781592
35496.6219071971,-576.406733194987,-236318.358481082,3230147.85810901
35771.7895188808,-603.864990234375,-236244.932852253,3230413.0484021
36046.9571305645,-639.115117390951,-236171.507223424,3230678.2386952
36322.1247422482,-670.790252685547,-236098.081594595,3230943.42898829
36597.2923539319,-758.139765421549,-236024.655965766,3231208.61928138
36872.4599656156,-758.22553507487,-235951.230336938,3231473.80957447
37147.6275772993,-756.20187886556,-235877.804708109,3231738.99986757
37422.7951889829,-803.110193888346,-235804.37907928,3232004.19016066
37697.9628006666,-889.177434285482,-235730.953450451,3232269.38045375
37973.1304123504,-998.293965657552,-235657.527821622,3232534.57074685
38248.298024034,-1018.35610961914,-235584.102192793,3232799.76103994
38523.4656357177,-945.983149210612,-235510.676563965,3233064.95133303
38798.6332474014,-977.860610961914,-235437.250935136,3233330.14162613
39073.8008590851,-1083.23350524902,-235363.825306307,3233595.33191922
39348.9684707688,-1184.30581665039,-235290.399677478,3233860.52221231
39624.1360824525,-1352.24947102865,-235216.974048649,3234125.71250541
39899.3036941362,-1530.29686482747,-235143.54841982,3234390.9027985
40174.4713058199,-1547.61959838867,-235070.122790992,3234656.09309159
40449.6389175036,-1498.5942179362,-234996.697162163,3234921.28338468
40724.8065291873,-1438.49472045898,-234923.271533334,3235186.47367778
40999.974140871,-1397.29565429688,-234849.845904505,3235451.66397087
41275.1417525547,-1349.56404622396,-234776.420275676,3235716.85426396
41550.3093642384,-1268.75084431966,-234702.994646847,3235982.04455706
41825.4769759221,-1191.29495239258,-234629.569018019,3236247.23485015
42100.6445876058,-1073.77235921224,-234556.14338919,3236512.42514324
42375.8121992895,-1117.35004170736,-234482.717760361,3236777.61543634
42650.9798109732,-1051.59963989258,-234409.292131532,3237042.80572943
42926.1474226569,-1043.6978302002,-234335.866502703,3237307.99602252
43201.3150343406,-1084.76377868652,-234262.440873874,3237573.18631562
43476.4826460243,-1069.23502604167,-234189.015245046,3237838.37660871
43751.650257708,-1021.97165934245,-234115.589616217,3238103.5669018
44026.8178693917,-984.603108723958,-234042.163987388,3238368.7571949
44301.9854810754,-967.301310221354,-233968.738358559,3238633.94748799
44577.1530927591,-1060.38553365072,-233895.31272973,3238899.13778108
44852.3207044428,-1136.10753377279,-233821.887100901,3239164.32807417
45127.4883161265,-1243.57881673177,-233748.461472073,3239429.51836727
45402.6559278102,-1350.50644938151,-233675.035843244,3239694.70866036
45677.8235394939,-1329.31713867188,-233601.610214415,3239959.89895345
45952.9911511776,-1213.82771809896,-233528.184585586,3240225.08924655
46228.1587628613,-1092.15005493164,-233454.758956757,3240490.27953964
46503.326374545,-1010.7542775472,-233381.333327928,3240755.46983273
46778.4939862287,-870.574905395508,-233307.9076991,3241020.66012583
47053.6615979124,-846.830332438151,-233234.482070271,3241285.85041892
47328.8292095961,-866.482345581055,-233161.056441442,3241551.04071201
47603.9968212798,-926.973846435547,-233087.630812613,3241816.23100511
47879.1644329635,-989.299601236979,-233014.205183784,3242081.4212982
48154.3320446472,-1003.7861328125,-232940.779554955,3242346.61159129
48429.4996563309,-1071.82344563802,-232867.353926126,3242611.80188438
