DBID,X,Y,PX,PY,u_location,u_scale,u_mean,u_sd,xobs,zobs
2444,-233558.922000231,3419519.24858145,-187422.317256993,3406744.99061074,-1.92583013622,0.105359595414,0.146565945182,0.0154850823522,218737.911073204,-4681.225098
2451,-225595.64138543,3432528.31309467,-183509.837723589,3420875.63696315,-2.41743428692,0.107050959231,0.0896623497743,0.00962600562841,233400.198153886,-5241.837402
2463,-215631.115353924,3418579.34845622,-186387.505255501,3410482.4063108,-2.54504814618,0.106400436174,0.0789147108051,0.00842038026911,222615.940468851,-5038.96582
2474,-203954.147557571,3415008.05303056,-186474.475136297,3410168.29843666,-2.03767255815,0.10514291403,0.131054102879,0.0138175810847,222290.014838133,-5143.328613
2480,-185285.056478062,3405243.8367182,-187656.180208131,3405900.35113614,-2.7262123837,0.105594575482,0.065832787366,0.00697100824062,217861.493523194,-4961.589844
2481,-179801.906532929,3405617.76405635,-187169.600539723,3407657.72396272,-2.82363630507,0.104938943983,0.0597174973202,0.00628398323798,219684.98441303,-5025.732422
2482,-177661.740009986,3401608.05037974,-188048.368598309,3404483.88993863,-2.55595915981,0.105811481961,0.0780534738543,0.00828212470748,216391.740463172,-4923.661133
2483,-172753.759410021,3403065.2484342,-187324.164392592,3407099.48790676,-2.85745752105,0.105652146777,0.0577358874276,0.00611698250625,219105.745706805,-5131.286621
2485,-165779.62515235,3394721.52163213,-188973.290948531,3401143.36111979,-2.66245275414,0.105163500748,0.0701637787594,0.00739911652392,212925.530119959,-5122.813965
2486,-165852.272518232,3390150.21214047,-190154.041266771,3396878.86208916,-2.29176081726,0.107286051501,0.101671762552,0.0109394258224,208500.586810009,-5048.479492
2487,-164723.283053476,3388652.13381054,-190458.905636806,3395777.7878058,-2.31777019183,0.106471398789,0.0990528124055,0.0105762508076,207358.086542351,-4966.269043
2490,-155800.373269846,3380518.34217588,-191915.284924002,3390517.8035716,-2.75472455611,0.105146040268,0.0639792343717,0.00674579940738,201900.204648041,-5283.625977
2491,-154479.160201816,3373868.54156171,-193531.301345354,3384681.26018399,-2.80217883166,0.105263549229,0.0610148120217,0.00644046817402,195844.071575733,-5278.652344
2492,-160458.562026878,3371944.2469533,-194451.914938714,3381356.29324067,-3.04306222428,0.106955265275,0.0479621793004,0.00514451315047,192394.008596242,-5246.209961
2493,-164306.704493118,3372844.74770061,-194494.339119611,3381203.07043351,-2.65208985534,0.106250085396,0.0709028027629,0.00755474030907,192235.02105032,-5109.365723
2494,-164703.597473031,3369883.30773675,-195284.175866543,3378350.42835532,-2.87178452063,0.107765536056,0.0569274393901,0.00615267072623,189275.053328698,-5247.836914
2495,-165470.656777216,3359883.8548416,-197910.295341573,3368865.71022095,-3.14972906354,0.106750430989,0.0431086659361,0.00461501017282,179433.489348024,-5066.874512
2496,-151704.193352149,3367347.33248829,-195010.73640463,3379338.00574764,-3.31130872092,0.105562302717,0.0366721737102,0.00388200876103,190299.786584304,-5392.74707
2497,-158167.792628126,3362823.10311275,-196634.436891168,3373473.70993175,-3.20545588659,0.108706838441,0.040780661278,0.00444626584754,184214.856947381,-5205.521484
2498,-173161.073352893,3367529.56904728,-196491.674437364,3373989.32304355,-3.39792256478,0.104830717776,0.0336269373931,0.00353484304567,184749.869096106,-4935.308594
2499,-173835.198517332,3375016.15361585,-194614.392203383,3380769.47642853,-3.27394792233,0.104588147972,0.0380642947476,0.00399198586697,191785.113833133,-4951.48291
2500,-176120.029404072,3385008.43680489,-192207.421473002,3389462.69817736,-2.99470643711,0.105692222431,0.0503316581003,0.0053345557246,200805.402768149,-4920.45752
2501,-183745.812538271,3393473.3891164,-190573.519658871,3395363.83798216,-3.09884795811,0.103576285767,0.0453437043968,0.00470915683749,206928.562584298,-4179.355469
2502,-190752.159194606,3393310.86504833,-191114.190736364,3393411.10398731,-2.6206590998,0.105490102094,0.0731608366976,0.00773926506957,204902.360405669,-4693.117188
2503,-190735.371033643,3386737.41648436,-192803.451622574,3387310.02461394,-2.77434547903,0.104470168654,0.0627316941039,0.00657151288633,198571.738646166,-4817.19873
2504,-179026.520367118,3378210.08417366,-194162.66706217,3382400.96565792,-2.8817377272,0.104662927091,0.0563450682076,0.00591342675845,193477.984976731,-4901.879395
2505,-180480.448286377,3373332.4106933,-195520.555128469,3377496.70075706,-3.16803169032,0.104731795304,0.0423178068476,0.00444420113108,188389.205730344,-4926.052734
